,Digitizer,yyyyjjj,Latitude,LatSTD,dates
10,9D7C,2018289,28.573805555555555,0.0,2018-10-16
13,9D7C,2018290,28.573797222222222,4.164631664648532e-06,2018-10-17
64,9D7C,2018338,28.57380138888889,4.166666666804986e-06,2018-12-04
68,9D7C,2018339,28.57380277777778,4.0764270193466105e-06,2018-12-05
73,9D7C,2018340,28.57380277777778,3.315228611002163e-06,2018-12-06
78,9D7C,2018341,28.57380277777778,2.77757616149371e-06,2018-12-07
83,9D7C,2018342,28.57380277777778,2.9057914038148686e-06,2018-12-08
87,9D7C,2018343,28.57380277777778,1.0296303273657975e-05,2018-12-09
91,9D7C,2018344,28.573805555555555,1.7451760632875925e-05,2018-12-10
95,9D7C,2018345,28.573805555555555,1.6124238653480502e-05,2018-12-11
99,9D7C,2018346,28.57380277777778,1.6988981116940235e-05,2018-12-12
104,9D7C,2018347,28.57383888888889,1.8054245045268548e-05,2018-12-13
108,9D7C,2018348,28.57380277777778,1.7909907605763634e-05,2018-12-14
112,9D7C,2018349,28.57380277777778,6.933147704004944e-06,2018-12-15
116,9D7C,2018350,28.573791666666665,5.9929631617064675e-06,2018-12-16
120,9D7C,2018351,28.573791666666665,5.800585559110159e-06,2018-12-17
124,9D7C,2018352,28.573791666666665,5.4152752534459e-06,2018-12-18
128,9D7C,2018353,28.573791666666665,1.003081671442312e-05,2018-12-19
132,9D7C,2018354,28.57380277777778,1.1120149120225926e-05,2018-12-20
136,9D7C,2018355,28.57380277777778,6.599166740198762e-06,2018-12-21
140,9D7C,2018356,28.573794444444445,6.943915201829832e-06,2018-12-22
144,9D7C,2018357,28.57380138888889,6.944444443490738e-06,2018-12-23
148,9D7C,2018358,28.573808333333332,6.942378566769884e-06,2018-12-24
152,9D7C,2018359,28.573808333333332,5.54314335550335e-06,2018-12-25
156,9D7C,2018360,28.573808333333332,2.9119762754927994e-06,2018-12-26
160,9D7C,2018361,28.57380277777778,2.7623455585180162e-06,2018-12-27
164,9D7C,2018362,28.57380277777778,3.552713678800501e-15,2018-12-28
168,9D7C,2018363,28.57380277777778,1.507184440101986e-06,2018-12-29
172,9D7C,2018364,28.57380277777778,2.493676228371833e-06,2018-12-30
176,9D7C,2018365,28.57380277777778,2.602504116571809e-06,2018-12-31
180,9D7C,2019001,28.57380277777778,4.589246257378373e-06,2019-01-01
184,9D7C,2019002,28.57380277777778,5.5756515566167305e-06,2019-01-02
188,9D7C,2019003,28.573808333333332,5.6745209297290655e-06,2019-01-03
192,9D7C,2019004,28.573808333333332,5.604806176898994e-06,2019-01-04
196,9D7C,2019005,28.573808333333332,5.453727409731704e-06,2019-01-05
200,9D7C,2019006,28.573808333333332,1.0491809694625951e-06,2019-01-06
204,9D7C,2019007,28.573808333333332,7.105427357601002e-15,2019-01-07
208,9D7C,2019008,28.573808333333332,3.552713678800501e-15,2019-01-08
212,9D7C,2019009,28.5738,4.165427140772261e-06,2019-01-09
216,9D7C,2019010,28.573808333333332,1.285478723688356e-06,2019-01-10
219,9D7C,2019011,28.573808333333332,3.552713678800501e-15,2019-01-11
222,9D7C,2019012,28.573808333333332,0.0,2019-01-12
225,9D7C,2019013,28.573808333333332,9.442628725163355e-07,2019-01-13
229,9D7C,2019014,28.573805555555555,2.5482226135765844e-06,2019-01-14
233,9D7C,2019015,28.573805555555555,1.3648338902760082e-06,2019-01-15
237,9D7C,2019016,28.5738,0.0,2019-01-16
241,9D7C,2019017,28.5738,1.3589382524103333e-06,2019-01-17
245,9D7C,2019018,28.57380277777778,2.544699733835962e-06,2019-01-18
249,9D7C,2019019,28.57380277777778,3.717737943105583e-06,2019-01-19
253,9D7C,2019020,28.57380277777778,3.7173073685403194e-06,2019-01-20
257,9D7C,2019021,28.57380277777778,4.234995434721363e-06,2019-01-21
261,9D7C,2019022,28.57380277777778,3.9181292483461595e-06,2019-01-22
265,9D7C,2019023,28.57380277777778,3.7745905473292383e-06,2019-01-23
269,9D7C,2019024,28.57380277777778,3.504324579272686e-06,2019-01-24
273,9D7C,2019025,28.57380277777778,2.928034870685893e-06,2019-01-25
277,9D7C,2019026,28.57380277777778,2.193091731583531e-06,2019-01-26
281,9D7C,2019027,28.57380277777778,3.0709488801796688e-06,2019-01-27
285,9D7C,2019028,28.57380277777778,3.055399672019209e-06,2019-01-28
289,9D7C,2019029,28.57380277777778,3.087306273430668e-06,2019-01-29
293,9D7C,2019030,28.57380277777778,3.4122631630748475e-06,2019-01-30
297,9D7C,2019031,28.57380277777778,4.7327695944383695e-06,2019-01-31
301,9D7C,2019032,28.57380277777778,4.967029036304991e-06,2019-02-01
305,9D7C,2019033,28.57380277777778,5.107077384066625e-06,2019-02-02
309,9D7C,2019034,28.57380277777778,5.281244733902702e-06,2019-02-03
313,9D7C,2019035,28.57380277777778,3.552713678800501e-15,2019-02-04
340,9D7C,2019044,28.57380277777778,3.552713678800501e-15,2019-02-13
345,9D7C,2019045,28.57380277777778,0.026991580965133134,2019-02-14
350,9D7C,2019046,28.57380277777778,0.0280814928348512,2019-02-15
355,9D7C,2019047,28.517066666666665,0.02668904533049663,2019-02-16
360,9D7C,2019048,28.517049999999998,0.023713081039848823,2019-02-17
365,9D7C,2019049,28.51698611111111,0.019629873927030635,2019-02-18
370,9D7C,2019050,28.51698611111111,0.01064356118193875,2019-02-19
375,9D7C,2019051,28.517049999999998,9.049123133756211e-05,2019-02-20
379,9D7C,2019052,28.517049999999998,8.330569033234094e-05,2019-02-21
384,9D7C,2019053,28.517049999999998,8.250182815836802e-05,2019-02-22
389,9D7C,2019054,28.517049999999998,8.052589214734515e-05,2019-02-23
394,9D7C,2019055,28.516991666666666,7.691539445945295e-05,2019-02-24
399,9D7C,2019056,28.5171,7.726221048138297e-05,2019-02-25
404,9D7C,2019057,28.517133333333334,9.41815270973926e-05,2019-02-26
409,9D7C,2019058,28.517133333333334,9.540774101613066e-05,2019-02-27
414,9D7C,2019059,28.517133333333334,9.643885169443704e-05,2019-02-28
419,9D7C,2019060,28.517133333333334,0.00010003490965934808,2019-03-01
424,9D7C,2019061,28.517069444444445,9.722222222130483e-05,2019-03-02
429,9D7C,2019062,28.517033333333334,8.045602757977805e-05,2019-03-03
434,9D7C,2019063,28.517033333333334,6.497882984149763e-05,2019-03-04
439,9D7C,2019064,28.516972222222222,2.88080540487389e-05,2019-03-05
444,9D7C,2019065,28.516972222222222,2.8746436902498367e-05,2019-03-06
449,9D7C,2019066,28.516972222222222,7.105427357601002e-15,2019-03-07
454,9D7C,2019067,28.516972222222222,2.7631282471340027e-05,2019-03-08
459,9D7C,2019068,28.516972222222222,5.2075801603334714e-05,2019-03-09
464,9D7C,2019069,28.517033333333334,6.514613733839022e-05,2019-03-10
469,9D7C,2019070,28.517083333333332,6.392510278781666e-05,2019-03-11
474,9D7C,2019071,28.517083333333332,6.803866572646368e-05,2019-03-12
