statistic,peaktime,kurtosis,medianF,peakF,bw_min,bw_max,band_ratio
mean,28.0557077124,7.04677803625,4.56104294026,1.66949673409,0.918693755113,2.6595718571,-2.38304876929
std,8.41821478912,4.50470290623,0.90203349036,0.537903653024,0.353710918339,0.89964692712,0.413480968934
25%,25.23,4.495,3.9,1.35,0.6,1.8,-2.72342738622
50%,25.855,5.975,4.35,1.55,0.9,2.35,-2.44973190458
75%,27.15,9.35,5.05,1.9775390625,1.05,2.85,-2.12619028859
