,filetime,Fs,Unnamed: 0,Unnamed: 0.1,bandratio_[0.8_4.0_16.0],bandratio_[1.0_6.0_11.0],bw_max,bw_min,calib,cft_peak_wmean,cft_std_wmean,coincidence_sum,day,detection_quality,energy,hour,kurtosis,medianF,minute,month,noise_level,num_gaps,num_traces,offtime,ontime,path,peakA,peakF,peakamp,peaktime,percent_availability,quality,sample_lower_quartile,sample_max,sample_mean,sample_median,sample_min,sample_rms,sample_stdev,sample_upper_quartile,second,sfile,signal_level,skewness,snr,subclass,trigger_duration,year,D,R,r,e,l,h,t,new_subclass,weight,checked,split,delete,ignore
91769,2000-12-01T00:12:20.040000Z,75.19,185018.0,19429.0,0.407756136476,-1.31139667187,4.35,1.6,1.0,4.99267813699,0.735975366731,13.0,1,47.768345597,3.7813259438300003e-10,0,2.9,6.7,12,12,2.6457478271700002e-06,0.0,18,2000-12-01T00:13:43.442048Z,2000-12-01T00:12:30.134427Z,./WAV/MVOE_/2000/12/2000-12-01-0012-20S.MVO___019,4.06865972498e-07,2.3,1.01831499576e-05,44.62,100.0,5.36,-5.288930133810001e-07,8.89464802977e-06,2.66960543451e-10,-2.28473178691e-09,-8.45773946261e-06,1.43462541703e-06,1.43457296511e-06,5.379001592399999e-07,20.04,01-0012-20L.S200012,1.01831499576e-05,0.07,2.89948755241,r,73.30762064460001,2000,0,0,100,0,0,0,0,r,3,False,False,False,False
91770,2000-12-01T00:16:50.040000Z,75.19,185019.0,19430.0,0.45482945114600004,-0.6924792366120001,3.0,0.75,1.0,5.78515788266,1.2423658554399999,13.0,1,93.4346740826,3.94087682963e-11,0,2.405,8.1,16,12,1.89002870328e-06,0.0,18,2000-12-01T00:17:24.951557Z,2000-12-01T00:16:57.740492Z,./WAV/MVOE_/2000/12/2000-12-01-0016-50S.MVO___019,3.30960439358e-07,1.95,4.5224106896400005e-06,16.065,100.0,5.04,-2.9061648079200003e-07,4.306236097280001e-06,4.68078132924e-08,4.22746589464e-08,-4.22324384596e-06,7.88047016703e-07,7.82307475663e-07,3.57660910198e-07,50.04,01-0016-50L.S200012,4.5224106896400005e-06,-0.055,2.45571719845,l,27.2110654116,2000,0,0,0,0,100,0,0,l,3,False,False,False,False
91771,2000-12-01T00:20:52.040000Z,75.19,185020.0,19431.0,0.305613393301,-1.26575396369,3.35,1.65,1.0,5.1728302284,0.810682062212,12.0,1,50.3222481244,7.76536234371e-10,0,6.935,6.8,20,12,2.5775701716799997e-06,0.0,18,2000-12-01T00:22:12.768820Z,2000-12-01T00:20:52.040000Z,./WAV/MVOE_/2000/12/2000-12-01-0020-52S.MVO___019,2.9810085382800004e-07,2.1,1.25118006729e-05,57.985,100.0,5.415,-4.0082705978899996e-07,1.12309239405e-05,7.57395963998e-10,-1.0797317056500002e-09,-1.25118006729e-05,1.6764318552600001e-06,1.67643026549e-06,3.9288769618200004e-07,52.04,01-0020-52L.S200012,1.25118006729e-05,-0.015,4.11840152787,r,80.7288204432,2000,0,0,100,0,0,0,0,r,3,False,False,False,False
91772,2000-12-01T00:41:27.040000Z,75.19,185021.0,19432.0,0.612838414572,-1.4486282107100001,5.1,0.5,1.0,6.992356826830001,1.61041250812,15.0,1,168.908683428,7.61094604522e-10,0,16.2,7.3,41,12,3.03064960767e-06,0.0,16,2000-12-01T00:42:55.150121Z,2000-12-01T00:41:37.174326Z,./WAV/MVOE_/2000/12/2000-12-01-0041-27S.MVO___019,2.16615896632e-07,0.9,1.58462899558e-05,19.66,100.0,5.52,-6.585716796060001e-07,1.58462899558e-05,-1.50254305065e-09,-2.30660911613e-09,-1.57395295534e-05,1.5921555113299999e-06,1.59215480235e-06,6.56781802893e-07,27.04,01-0041-27L.S200012,1.58462899558e-05,0.11,5.2286776787800004,r,77.975794673,2000,0,0,100,0,0,0,0,r,3,False,False,False,False
91773,2000-12-01T00:48:08.040000Z,75.19,185022.0,19433.0,0.8305009333110001,-0.607878297692,4.4,0.4,1.0,,,,1,,1.57025782056e-11,0,0.375,8.2,48,12,7.18141860055e-07,0.0,18,,,./WAV/MVOE_/2000/12/2000-12-01-0048-08S.MVO___019,1.48982712544e-07,2.2,1.73446703535e-06,49.535,100.0,4.885,-2.31415832779e-07,1.5735624624600001e-06,-8.290238424420001e-09,-1.2973078766299999e-08,-1.73446703535e-06,3.63510031417e-07,3.6285796623200004e-07,2.33767178545e-07,8.04,01-0048-08L.S200012,1.73446703535e-06,0.0,2.37964082229,r,,2000,0,0,100,0,0,0,0,r,3,False,False,False,False
91774,2000-12-01T01:11:57.040000Z,75.19,185023.0,19434.0,0.7215845637999999,-0.568369926655,5.75,0.35,1.0,,,,1,,1.54052379297e-11,1,0.18,8.0,11,12,6.723624556100001e-07,0.0,19,,,./WAV/MVOE_/2000/12/2000-12-01-0111-57S.MVO___019,1.43078869366e-07,2.1,1.5578069777100001e-06,60.77,100.0,4.9,-2.44646167252e-07,1.37563618489e-06,-1.79022252221e-09,-3.87025241352e-09,-1.5578069777100001e-06,3.70509748041e-07,3.7038785781399996e-07,2.31310823306e-07,57.04,01-0111-57L.S200012,1.5578069777100001e-06,-0.015,2.27464027312,r,,2000,0,0,100,0,0,0,0,r,3,False,False,False,False
91775,2000-12-01T01:17:39.040000Z,75.19,185024.0,19435.0,1.22583076676,-0.185735325852,7.0,1.65,1.0,4.66041797856,0.593733959622,12.0,1,33.2045810388,1.0310127656899999e-10,1,3.54,8.0,17,12,1.75240816235e-06,0.0,19,2000-12-01T01:19:34.733576Z,2000-12-01T01:17:42.950094Z,./WAV/MVOE_/2000/12/2000-12-01-0117-39S.MVO___019,2.38498110671e-07,2.45,6.28097622452e-06,34.3,100.0,5.245,-3.4942048655e-07,6.28097622452e-06,1.89654927533e-09,2.78032780642e-09,-5.15747569413e-06,9.15509558201e-07,9.154885812200001e-07,3.47627779827e-07,39.04,01-0117-39L.S200012,6.28097622452e-06,0.055,3.11663935796,r,111.783481836,2000,0,0,100,0,0,0,0,r,3,False,False,False,False
91776,2000-12-01T01:29:00.040000Z,75.19,185025.0,19436.0,-0.32968034452,-0.9632037370730001,3.2,0.7,1.0,7.00335432339,1.57075032079,17.0,1,187.008857851,1.06223417316e-10,1,9.425,6.7,29,12,2.1837975878e-06,0.0,19,2000-12-01T01:29:32.145333Z,2000-12-01T01:29:00.226195Z,./WAV/MVOE_/2000/12/2000-12-01-0129-00S.MVO___019,2.70810007169e-07,1.45,7.64501819407e-06,17.385,100.0,5.125,-2.37610887214e-07,6.39998543649e-06,3.02700353564e-09,3.06499292042e-09,-6.9219312401199996e-06,9.268307375540001e-07,9.26805244059e-07,2.54595729879e-07,0.04,01-0129-00L.S200012,7.64501819407e-06,-0.31,3.25859685509,h,31.9191381931,2000,0,0,0,0,0,100,0,h,3,False,False,False,False
91777,2000-12-01T01:33:38.040000Z,75.19,185026.0,19437.0,0.5938804950559999,-0.763090684623,3.9,1.65,1.0,4.9330406273000005,0.811691467304,8.0,1,32.0328558804,1.49134009918e-10,1,3.44,7.9,33,12,2.07176498706e-06,0.0,19,2000-12-01T01:34:35.467850Z,2000-12-01T01:33:47.496045Z,./WAV/MVOE_/2000/12/2000-12-01-0133-38S.MVO___019,2.55382435278e-07,2.35,5.9845047971199996e-06,30.18,100.0,5.23,-3.44625457304e-07,5.79092298701e-06,-1.37322089194e-09,-3.7601192849299995e-09,-5.87831644469e-06,9.22286428642e-07,9.22283134499e-07,3.37381626044e-07,38.04,01-0133-38L.S200012,5.9845047971199996e-06,-0.005,3.05128418696,r,47.97180485729999,2000,0,0,100,0,0,0,0,r,3,False,False,False,False
91778,2000-12-01T01:51:09.040000Z,75.19,185027.0,19438.0,0.7066176872,-0.798929877571,5.35,1.4,1.0,,,,1,,3.09926253117e-11,1,0.705,7.45,51,12,1.10601926216e-06,0.0,19,,,./WAV/MVOE_/2000/12/2000-12-01-0151-09S.MVO___019,2.0004820663e-07,3.1,2.87081746025e-06,25.06,100.0,5.02,-2.96015886918e-07,2.83364936142e-06,-1.30486532442e-09,3.49560534634e-09,-2.7149270318099998e-06,5.35136088175e-07,5.34298331307e-07,2.8060057916199997e-07,9.04,01-0151-09L.S200012,2.87081746025e-06,0.0,2.60753053062,r,,2000,0,0,100,0,0,0,0,r,3,False,False,False,False
