statistic,peaktime,kurtosis,medianF,peakF,bw_min,bw_max,band_ratio
mean,19.383968925,12.4243484919,6.04869132271,2.16301817155,0.674780833239,4.08722999141,-1.6457030074
std,7.12441171145,8.25473344383,1.30580286418,0.720765536032,0.519023871143,1.15693279986,0.594578939014
25%,14.8157999734,7.41513161915,5.36277327053,1.68883789062,0.3,3.3,-2.16289319104
50%,15.5472802234,8.84823604217,5.82557550168,1.95,0.65,4.05,-1.53069323286
75%,20.905,15.31,6.45646095864,2.71682617187,0.9,4.6,-1.24457415949
