,filetime,Fs,Unnamed: 0,Unnamed: 0.1,bandratio_[0.8_4.0_16.0],bandratio_[1.0_6.0_11.0],bw_max,bw_min,calib,cft_peak_wmean,cft_std_wmean,coincidence_sum,day,detection_quality,energy,hour,kurtosis,medianF,minute,month,noise_level,num_gaps,num_traces,offtime,ontime,path,peakA,peakF,peakamp,peaktime,percent_availability,quality,sample_lower_quartile,sample_max,sample_mean,sample_median,sample_min,sample_rms,sample_stdev,sample_upper_quartile,second,sfile,signal_level,skewness,snr,subclass,trigger_duration,year,D,R,r,e,l,h,t,new_subclass,weight,checked,split,delete,ignore
62680,1998-12-01T00:21:55.040000Z,75.19,125722.0,62548.0,0.361807702706,-0.9908899612950001,3.9,0.0,1.0,4.68097451867,0.956782611883,5.0,1,22.3933751307,1.1501012599000002e-11,0,0.84,7.7,21,12,9.22108647958e-07,0.0,13,1998-12-01T00:22:28.608294Z,1998-12-01T00:21:58.963394Z,./WAV/MVOE_/1998/12/9812-01-0021-55S.MVO_13_1,1.41911553457e-07,2.35,1.9034386858700001e-06,17.115,100.0,4.875,-2.59628851588e-07,1.9034386858700001e-06,3.23754875628e-08,3.03085076212e-08,-1.86132488107e-06,4.32125188759e-07,4.30878250176e-07,2.96661171996e-07,55.04,01-0021-55L.S199812,1.9034386858700001e-06,0.03,1.99147841303,r,29.6448996067,1998,0,0,100,0,0,0,0,r,3,False,False,False,False
62681,1998-12-01T00:33:52.040000Z,75.19,125723.0,62549.0,-0.374967579722,-2.01619485268,4.2,1.85,1.0,6.06621695809,1.3447143805500001,12.0,1,97.8879501492,2.8803971689699997e-11,0,4.58,6.35,33,12,1.88103050724e-06,0.0,13,1998-12-01T00:34:30.342966Z,1998-12-01T00:34:04.315569Z,./WAV/MVOE_/1998/12/9812-01-0033-52S.MVO_13_1,2.6153274729299997e-07,3.15,3.99765369866e-06,16.465,100.0,5.07,-3.1813600821500003e-07,3.82063929011e-06,-1.0365985135200001e-08,-4.4023731101300005e-09,-3.71128905069e-06,7.31624670691e-07,7.31182143262e-07,3.04365692184e-07,52.04,01-0033-52L.S199812,3.99765369866e-06,-0.14,2.19771256837,r,26.0273971558,1998,0,0,100,0,0,0,0,r,3,False,False,False,False
62682,1998-12-01T01:52:08.040000Z,75.19,125724.0,62550.0,1.04580888761,-0.323670023484,6.9,0.0,1.0,5.50411062451,1.24709535287,4.0,1,27.456603126100003,4.62631673942e-12,1,4.455,10.6,52,12,9.54960294958e-07,0.0,13,1998-12-01T01:52:35.955946Z,1998-12-01T01:52:19.211698Z,./WAV/MVOE_/1998/12/9812-01-0152-08S.MVO_13_1,1.43189019419e-07,2.8,2.40094865654e-06,12.16,100.0,4.73,-1.32279066423e-07,2.07134077165e-06,9.93733348308e-08,9.50886970734e-08,-2.05145342344e-06,4.27638450693e-07,4.10597363836e-07,2.9269069621300003e-07,8.04,01-0152-08L.S199812,2.40094865654e-06,0.06,3.53031628916,t,16.7442479134,1998,0,0,0,0,0,0,100,t,3,False,False,False,False
62683,1998-12-01T06:49:28.040000Z,75.19,125725.0,62551.0,1.3003188560299999,-0.051320169778000004,6.4,1.85,1.0,6.9626356868600014,1.79142983691,11.0,1,137.203806442,1.6864652124200003e-11,6,17.09,10.2,49,12,1.56027372474e-06,0.0,13,1998-12-01T06:49:51.354270Z,1998-12-01T06:49:40.408666Z,./WAV/MVOE_/1998/12/9812-01-0649-28S.MVO_13_1,1.67738552764e-07,4.4,6.20450397295e-06,13.43,100.0,4.845,-4.12279870316e-07,5.77968160613e-06,-4.58697216036e-08,-4.59924306859e-08,-4.95671247954e-06,6.74332179064e-07,6.39480563418e-07,2.2121065317300001e-07,28.04,01-0649-28L.S199812,6.20450397295e-06,-0.125,4.09425710324,t,10.945604443599999,1998,0,0,0,0,0,0,100,t,3,False,False,False,False
62684,1998-12-01T08:06:34.040000Z,75.19,125726.0,62552.0,0.470588744762,-0.761900548098,5.05,0.0,1.0,5.07016478017,0.964397036951,9.0,1,44.0068670177,1.61514730049e-11,8,5.465,7.25,6,12,1.16845302419e-06,0.0,13,1998-12-01T08:07:23.900354Z,1998-12-01T08:06:38.349084Z,./WAV/MVOE_/1998/12/9812-01-0806-34S.MVO_13_1,1.8057758931400002e-07,2.65,3.48901805011e-06,15.19,100.0,4.955,-3.29087090163e-07,2.92708793566e-06,4.46279762562e-09,5.785833894949999e-10,-3.48901805011e-06,5.67649706991e-07,5.66695062243e-07,3.12403927096e-07,34.04,01-0806-34L.S199812,3.48901805011e-06,-0.215,3.56870127857,r,45.55127012729999,1998,0,0,100,0,0,0,0,r,3,False,False,False,False
62685,1998-12-01T08:53:36.040000Z,75.19,125727.0,62553.0,1.37481984405,0.093522402809,6.85,0.25,1.0,6.968342018260001,1.80789678782,13.0,1,163.774560966,3.61589418785e-11,8,16.3,10.2,53,12,1.87054534308e-06,0.0,13,1998-12-01T08:54:10.180178Z,1998-12-01T08:53:48.541662Z,./WAV/MVOE_/1998/12/9812-01-0853-36S.MVO_13_1,1.83584033058e-07,3.65,8.327910885439999e-06,14.68,100.0,4.925,-3.73045463218e-07,7.83574655859e-06,-6.58928111248e-08,-6.00070018439e-08,-7.49885786157e-06,9.041521663639999e-07,9.03950192709e-07,1.98023685639e-07,36.04,01-0853-36L.S199812,8.327910885439999e-06,0.09,4.48705405667,t,21.6385157108,1998,0,0,0,0,0,0,100,t,3,False,False,False,False
62686,1998-12-01T14:48:50.040000Z,75.19,125728.0,62554.0,0.623755090742,-1.12139098343,4.6,0.0,1.0,5.42360156492,1.04499615248,8.0,1,45.341142143199995,1.06079019029e-11,14,4.32,6.7,48,12,9.59467552803e-07,0.0,13,1998-12-01T14:49:29.659630Z,1998-12-01T14:48:55.679048Z,./WAV/MVOE_/1998/12/9812-01-1448-50S.MVO_13_1,1.7386440724e-07,0.95,2.7947019548299997e-06,13.65,100.0,4.915,-2.62283098296e-07,2.7947019548299997e-06,6.462275301419999e-08,6.692696944839999e-08,-2.3581766721599997e-06,4.83457892675e-07,4.7993201401e-07,3.2956473930700003e-07,50.04,01-1448-50L.S199812,2.7947019548299997e-06,0.02,2.62397820605,r,33.9805823565,1998,0,0,100,0,0,0,0,r,3,False,False,False,False
62687,1998-12-01T16:53:32.040000Z,75.19,125729.0,62555.0,1.0666453272399998,-0.150757763954,6.1,0.0,1.0,5.56570148753,1.2473913770799998,6.0,1,41.6556482577,7.492206187780001e-12,16,3.63,8.75,53,12,1.03431577774e-06,0.0,13,1998-12-01T16:54:04.943312Z,1998-12-01T16:53:37.333257Z,./WAV/MVOE_/1998/12/9812-01-1653-32S.MVO_13_1,1.48786071551e-07,2.6,2.81543118542e-06,13.4,100.0,4.8,-3.24211656024e-07,2.2577086577e-06,-3.9863954184900004e-08,-3.17858781552e-08,-2.81543118542e-06,5.05443234735e-07,4.49763619588e-07,2.66955526117e-07,32.04,01-1653-32L.S199812,2.81543118542e-06,-0.13,2.60948159978,t,27.610054493000003,1998,0,0,0,0,0,0,100,t,3,False,False,False,False
62688,1998-12-01T17:01:41.040000Z,75.19,125730.0,62556.0,1.74576526684,0.14748081157,7.9,1.7,1.0,8.28095414212,1.9642464987700001,13.0,1,211.45585734099998,9.79123807926e-11,17,32.155,9.7,1,12,3.3003734704599998e-06,0.0,13,1998-12-01T17:02:08.397361Z,1998-12-01T17:01:41.226195Z,./WAV/MVOE_/1998/12/9812-01-1701-41S.MVO_13_1,2.51953158611e-07,4.8,1.63801069678e-05,13.235,100.0,4.515,-2.72405917385e-07,1.30590894488e-05,4.41797710116e-08,5.50242937786e-08,-1.63801069678e-05,1.43695285765e-06,1.43521369425e-06,4.16521874472e-07,41.04,01-1701-41L.S199812,1.63801069678e-05,-0.95,5.70860091847,t,27.17116642,1998,0,0,0,0,0,0,100,t,3,False,False,False,False
62689,1998-12-01T17:59:07.040000Z,75.19,125731.0,62557.0,0.903578990415,-0.24301375347100002,5.1,0.0,1.0,,,,1,,7.6931336193e-12,17,0.43,8.75,59,12,1.12758284058e-06,0.0,13,,,./WAV/MVOE_/1998/12/9812-01-1759-07S.MVO_13_1,1.75544396402e-07,0.8,1.99277574109e-06,11.86,100.0,4.785,-3.4417759692e-07,1.4703149849299999e-06,-3.61425117629e-08,-1.3779880113100001e-08,-1.99277574109e-06,5.88825123413e-07,4.48481044342e-07,2.4645809096900003e-07,7.04,01-1759-07L.S199812,1.99277574109e-06,-0.005,2.12555065559,t,,1998,0,0,0,0,0,0,100,t,3,False,False,False,False
