,filetime,Fs,Unnamed: 0,Unnamed: 0.1,bandratio_[0.8_4.0_16.0],bandratio_[1.0_6.0_11.0],bw_max,bw_min,calib,cft_peak_wmean,cft_std_wmean,coincidence_sum,day,detection_quality,energy,hour,kurtosis,medianF,minute,month,noise_level,num_gaps,num_traces,offtime,ontime,path,peakA,peakF,peakamp,peaktime,percent_availability,quality,sample_lower_quartile,sample_max,sample_mean,sample_median,sample_min,sample_rms,sample_stdev,sample_upper_quartile,second,sfile,signal_level,skewness,snr,subclass,trigger_duration,year,D,R,r,e,l,h,t,new_subclass,weight,checked,split,delete,ignore
59498,1998-07-01T01:22:31.040000Z,75.19,119424.0,59366.0,1.60916062847,0.219029450445,6.25,0.0,1.0,,,,1,,7.368431035510001e-12,1,1.905,9.75,22,7,9.76682554136e-07,0.0,5,,,./WAV/MVOE_/1998/07/9807-01-0122-31S.MVO_13_1,1.36466830881e-07,4.55,2.37991381276e-06,12.99,100.0,4.815,-2.71897703268e-07,2.25919642472e-06,-3.51925147413e-08,-3.8069622837800005e-08,-2.3397188198700002e-06,4.57557473562e-07,4.4077775538199996e-07,2.09391444056e-07,31.04,01-0122-31L.S199807,2.37991381276e-06,0.065,2.2392751589900004,t,,1998,0,0,0,0,0,0,100,t,3,False,False,False,False
59499,1998-07-01T02:17:52.040000Z,75.19,119425.0,59367.0,0.173487571989,-0.9051583675489999,1.9,0.6,1.0,,,,1,,1.9823690831099998e-11,2,1.875,7.25,17,7,9.442390997620001e-07,0.0,5,,,./WAV/MVOE_/1998/07/9807-01-0217-52S.MVO_13_1,1.5010101328599998e-07,1.35,2.24246375095e-06,55.365,100.0,4.935,-2.2311573848000002e-07,2.0530764399599997e-06,-7.67055214534e-09,-1.1990000195899998e-08,-2.0906466431200003e-06,4.06865733441e-07,4.0679159523e-07,2.0610584794e-07,52.04,01-0217-52L.S199807,2.24246375095e-06,0.06,2.3397193163,r,,1998,0,0,100,0,0,0,0,r,3,False,False,False,False
59500,1998-07-01T05:27:40.040000Z,75.19,119426.0,59368.0,-0.020270958617499998,-0.906318774253,2.55,0.2,1.0,7.383846126569999,1.4952628574000002,5.0,1,55.2039542892,6.96490742928e-12,5,4.265,7.9,27,7,8.36374344752e-07,0.0,5,1998-07-01T05:28:04.484740Z,1998-07-01T05:27:46.955813Z,./WAV/MVOE_/1998/07/9807-01-0527-40S.MVO_13_1,1.47889920468e-07,1.25,2.39937195178e-06,12.51,100.0,4.8,-1.7367648881900002e-07,1.97135589112e-06,4.29764001992e-09,5.56023137385e-09,-2.39937195178e-06,3.80865765556e-07,3.8081408141599997e-07,1.85483965979e-07,40.04,01-0527-40L.S199807,2.39937195178e-06,-0.06,2.76880962505,t,17.5289267302,1998,0,0,0,0,0,0,100,t,3,False,False,False,False
59501,1998-07-01T05:30:09.040000Z,75.19,119427.0,59369.0,0.309562236384,-1.04372133957,4.0,0.95,1.0,5.437858337640001,0.857414906883,5.0,1,23.312504001,1.09782174158e-10,5,7.135,7.15,30,7,2.12765113163e-06,0.0,5,1998-07-01T05:31:18.171533Z,1998-07-01T05:30:21.062875Z,./WAV/MVOE_/1998/07/9807-01-0530-09S.MVO_13_1,1.9882394565499998e-07,1.6,6.65100820956e-06,30.315,100.0,5.265,-2.9667214156e-07,6.65100820956e-06,9.90861506275e-09,5.77000817461e-09,-6.1754934892e-06,9.59784121943e-07,9.59732757167e-07,3.2939787007300003e-07,9.04,01-0530-09L.S199807,6.65100820956e-06,0.09,3.12988868462,r,57.1086580753,1998,0,0,100,0,0,0,0,r,3,False,False,False,False
59502,1998-07-01T10:00:13.040000Z,75.19,119428.0,59370.0,-0.18792227123100003,-1.54939608601,2.7,0.35,1.0,,,,1,,1.1815583055699999e-11,10,1.18,7.1,0,7,7.34913693829e-07,0.0,5,,,./WAV/MVOE_/1998/07/9807-01-1000-13S.MVO_13_1,1.61820895444e-07,1.45,1.7526597630099999e-06,9.245,100.0,4.88,-2.13391530043e-07,1.7526597630099999e-06,1.8401214696199998e-09,-3.0275657196400003e-09,-1.6007867893299998e-06,3.77631723802e-07,3.77517806594e-07,2.2282702635300003e-07,13.04,01-1000-13L.S199807,1.7526597630099999e-06,0.03,2.3514250749000003,r,,1998,0,0,100,0,0,0,0,r,3,False,False,False,False
59503,1998-07-01T12:16:19.040000Z,75.19,119429.0,59371.0,-0.146589963558,-1.71532593416,4.6,0.65,1.0,,,,1,,1.3157866459e-10,12,1.24,6.5,16,7,2.1153793346e-06,0.0,5,,,./WAV/MVOE_/1998/07/9807-01-1216-19S.MVO_13_1,4.03938417268e-07,2.85,5.70196750546e-06,23.37,100.0,5.225,-4.83761420087e-07,5.70196750546e-06,7.58710694895e-09,1.2044417004700001e-08,-4.81388296019e-06,1.08988978832e-06,1.0893115974200001e-06,5.02573550175e-07,19.04,01-1216-19L.S199807,5.70196750546e-06,-0.04,2.6116519320599996,r,,1998,0,0,100,0,0,0,0,r,3,False,False,False,False
59504,1998-07-01T12:51:03.040000Z,75.19,119430.0,59372.0,0.413478164329,-1.09481699192,2.45,0.5,1.0,8.37952870775,1.6906334729199999,5.0,1,70.8335586031,5.74026271175e-11,12,9.73,7.8,51,7,1.9087853010700003e-06,0.0,5,1998-07-01T12:51:29.918574Z,1998-07-01T12:51:14.105301Z,./WAV/MVOE_/1998/07/9807-01-1251-03S.MVO_13_1,2.73197806225e-07,1.35,7.2105551112e-06,12.445,100.0,5.02,-2.53996608958e-07,7.2105551112e-06,2.6658789343000003e-09,-1.2094124697799998e-09,-6.86385471843e-06,9.66192568375e-07,9.66150154623e-07,2.56141970493e-07,3.04,01-1251-03L.S199807,7.2105551112e-06,-0.06,3.53346127475,h,15.8132730722,1998,0,0,0,0,0,100,0,h,3,False,False,False,False
59505,1998-07-01T14:38:29.040000Z,75.19,119431.0,59373.0,1.0932620065799998,-0.42156745802900003,4.7,0.25,1.0,6.78464137886,1.4211807934,13.0,1,125.348626231,3.5182963906e-11,14,22.015,9.3,38,7,9.78183420636e-07,0.0,13,1998-07-01T14:40:34.708307Z,1998-07-01T14:38:35.902615Z,./WAV/MVOE_/1998/07/9807-01-1438-29S.MVO_13_1,1.21234154577e-07,0.7,6.46299868025e-06,11.985,100.0,4.895,-2.46621193881e-07,6.46299868025e-06,4.96149478388e-09,7.92514002739e-09,-4.38385976478e-06,5.17381071631e-07,5.17329432882e-07,2.52597594354e-07,29.04,01-1438-29L.S199807,6.46299868025e-06,0.16,6.8620403278,r,118.80569219600001,1998,0,0,100,0,0,0,0,r,3,False,False,False,False
59506,1998-07-01T15:20:36.040000Z,75.19,119432.0,59374.0,1.45998571215,-0.016727370529,6.5,0.0,1.0,5.47726330705,1.06049190395,7.0,1,40.6601537505,8.938481659510001e-12,15,1.555,9.7,20,7,9.73979800037e-07,0.0,13,1998-07-01T15:21:08.943312Z,1998-07-01T15:20:42.676521Z,./WAV/MVOE_/1998/07/9807-01-1520-36S.MVO_13_1,1.50987190166e-07,4.25,2.1275063025e-06,12.735,100.0,4.875,-2.50942595029e-07,2.1275063025e-06,-3.5496924198900004e-08,-3.88615818601e-08,-1.63584886284e-06,5.52740690598e-07,4.7198832596899997e-07,2.85067971875e-07,36.04,01-1520-36L.S199807,2.1275063025e-06,-0.045,2.58803065083,t,26.2667907476,1998,0,0,0,0,0,0,100,t,3,False,False,False,False
59507,1998-07-01T15:33:29.040000Z,75.19,119433.0,59375.0,1.6766890383700002,-0.239109089982,4.9,0.0,1.0,6.39913375064,1.39823088662,10.0,1,89.47466457739999,1.4293427767199999e-11,15,7.495,10.1,33,7,1.31128716235e-06,0.0,13,1998-07-01T15:34:12.915515Z,1998-07-01T15:33:39.746211Z,./WAV/MVOE_/1998/07/9807-01-1533-29S.MVO_13_1,1.55965971329e-07,2.7,3.62221160784e-06,14.09,100.0,4.97,-3.30968126744e-07,3.62221160784e-06,-1.11135376516e-08,-1.36782327736e-08,-3.18566874873e-06,5.98152417691e-07,5.97646338159e-07,3.13107212362e-07,29.04,01-1533-29L.S199807,3.62221160784e-06,0.09,3.3001095097900004,r,33.169304490100004,1998,0,0,100,0,0,0,0,r,3,False,False,False,False
