,filetime,Fs,Unnamed: 0,Unnamed: 0.1,bandratio_[0.8_4.0_16.0],bandratio_[1.0_6.0_11.0],bw_max,bw_min,calib,cft_peak_wmean,cft_std_wmean,coincidence_sum,day,detection_quality,energy,hour,kurtosis,medianF,minute,month,noise_level,num_gaps,num_traces,offtime,ontime,path,peakA,peakF,peakamp,peaktime,percent_availability,quality,sample_lower_quartile,sample_max,sample_mean,sample_median,sample_min,sample_rms,sample_stdev,sample_upper_quartile,second,sfile,signal_level,skewness,snr,subclass,trigger_duration,year,D,R,r,e,l,h,t,new_subclass,weight,checked,split,delete,ignore
170234,2005-10-01T02:01:25.000000Z,100.0,327983.0,11831.0,-1.2925451313,-2.8232036771900004,3.35,0.9,1.0,5.56553512007,1.1881770588299998,27.0,1,178.546711045,1.63290187445e-12,2,5.215,5.65,1,10,3.3406091934e-07,0.0,31,2005-10-01T02:02:26.890000Z,2005-10-01T02:01:29.000000Z,./WAV/MVOE_/2005/10/2005-10-01-0201-25S.MVO___036,5.0926809422000005e-08,2.25,1.18449078906e-06,20.91,100.0,4.945,-6.84654245176e-08,8.755221733100001e-07,-4.44800583878e-10,1.5779371841899998e-10,-1.0756151436e-06,1.60097104075e-07,1.6009491097e-07,6.73641989367e-08,25.0,01-0201-25L.S200510,1.18449078906e-06,-0.115,2.22957128092,h,57.8900001049,2005,0,0,0,0,0,100,0,h,3,False,False,False,False
170235,2005-10-01T04:44:19.000000Z,100.0,327984.0,11832.0,-1.8249171834,-3.3200071338200003,3.5,0.85,1.0,6.492028325340001,1.38485863044,25.0,1,224.763536385,4.6240594215900005e-12,4,4.855,5.15,44,10,5.87952051889e-07,0.0,32,2005-10-01T04:44:58.810000Z,2005-10-01T04:44:21.290000Z,./WAV/MVOE_/2005/10/2005-10-01-0444-19S.MVO___036,7.601583160780001e-08,2.25,1.45522849923e-06,24.82,100.0,4.97,-7.459286309260002e-08,1.26961862848e-06,5.871537372240001e-10,1.49047908523e-09,-1.37025601007e-06,2.5009401857800004e-07,2.50080177421e-07,7.892130118660001e-08,19.0,01-0444-19L.S200510,1.45522849923e-06,-0.05,2.3141655784,h,37.5199999809,2005,0,0,0,0,0,100,0,h,3,False,False,False,False
170236,2005-10-01T05:14:32.000000Z,100.0,327985.0,11833.0,-2.16574479058,-3.69207332129,3.65,1.65,1.0,6.61184272481,1.38726496719,29.0,1,265.99895563900003,7.9703167766e-12,5,6.935,4.25,14,10,9.279132030399999e-07,0.0,32,2005-10-01T05:15:33.970000Z,2005-10-01T05:14:43.090000Z,./WAV/MVOE_/2005/10/2005-10-01-0514-32S.MVO___036,1.06080671925e-07,2.65,2.32021894885e-06,25.14,100.0,5.145,-9.848098938480001e-08,2.32021894885e-06,2.72613161765e-10,1.2576075962000001e-09,-1.8885967492900001e-06,3.28453663028e-07,3.2845318575500003e-07,1.01665485281e-07,32.0,01-0514-32L.S200510,2.32021894885e-06,-0.03,2.38219521665,h,50.8800001144,2005,0,0,0,0,0,100,0,h,3,False,False,False,False
170237,2005-10-01T05:24:19.000000Z,100.0,327986.0,11834.0,-1.80375449977,-3.32913539191,3.45,1.25,1.0,6.12209155497,1.2898479810299999,28.0,1,221.103888091,7.41547318048e-12,5,4.185,4.5,24,10,8.515695881880001e-07,0.0,32,2005-10-01T05:25:32.990000Z,2005-10-01T05:24:22.720000Z,./WAV/MVOE_/2005/10/2005-10-01-0524-19S.MVO___036,1.04024177904e-07,2.5,1.5484989893e-06,24.705,100.0,5.06,-1.2601946432899999e-07,1.5484989893e-06,-1.27544113753e-10,-5.35646911733e-10,-1.48307678019e-06,3.21213261979e-07,3.21211979367e-07,1.2636070578e-07,19.0,01-0524-19L.S200510,1.5484989893e-06,-0.065,2.15973718572,h,70.2699999809,2005,0,0,0,0,0,100,0,h,3,False,False,False,False
170238,2005-10-01T05:34:44.000000Z,100.0,327987.0,11835.0,-1.55455837868,-3.15537233407,3.3,0.5,1.0,6.22064189286,1.33593858348,25.0,1,207.759887967,3.43260852785e-12,5,3.075,4.75,34,10,5.78074694815e-07,0.0,32,2005-10-01T05:35:54.990000Z,2005-10-01T05:34:49.890000Z,./WAV/MVOE_/2005/10/2005-10-01-0534-44S.MVO___036,6.71619955034e-08,2.3,1.3513092948700002e-06,21.945,100.0,4.925,-8.852296709269999e-08,1.1249025543200001e-06,-2.1991205020599997e-10,-5.32510535917e-10,-1.3513092948700002e-06,2.2211423788899997e-07,2.22107600781e-07,8.67740108454e-08,44.0,01-0534-44L.S200510,1.3513092948700002e-06,-0.04,2.25769065974,h,65.0999999046,2005,0,0,0,0,0,100,0,h,3,False,False,False,False
170239,2005-10-01T05:47:44.000000Z,100.0,327988.0,11836.0,-1.5274992155000002,-3.0829780159599998,3.45,0.55,1.0,5.77778309569,1.13400013767,24.0,1,157.248163822,1.1094475123e-12,5,3.725,5.1,47,10,3.28493932062e-07,0.0,32,2005-10-01T05:48:51.990000Z,2005-10-01T05:47:48.000000Z,./WAV/MVOE_/2005/10/2005-10-01-0547-44S.MVO___036,4.18323776667e-08,2.25,8.30258783726e-07,18.285,100.0,4.93,-6.93408507632e-08,6.84833405845e-07,4.08899433819e-10,6.26949988622e-10,-8.30258783726e-07,1.32656558274e-07,1.32625409462e-07,6.91021921374e-08,44.0,01-0547-44L.S200510,8.30258783726e-07,-0.055,2.4020527650599997,h,63.9900000095,2005,0,0,0,0,0,100,0,h,3,False,False,False,False
170240,2005-10-01T06:02:25.000000Z,100.0,327989.0,11837.0,-2.00044523808,-3.30505019735,3.35,1.15,1.0,6.472124350540001,1.3109832619,26.0,1,220.606014005,2.90806353279e-12,6,5.895,4.55,2,10,5.70345843209e-07,0.0,32,2005-10-01T06:03:36.990000Z,2005-10-01T06:02:25.290000Z,./WAV/MVOE_/2005/10/2005-10-01-0602-25S.MVO___036,6.56759337902e-08,2.35,1.38910063482e-06,20.07,100.0,5.025,-8.39445568668e-08,1.3204308947399999e-06,-4.5644572580900005e-10,-4.8378748198e-10,-1.26538211013e-06,2.06526487052e-07,2.06522394802e-07,7.82172653553e-08,25.0,01-0602-25L.S200510,1.38910063482e-06,-0.165,2.56233485786,h,71.7000000477,2005,0,0,0,0,0,100,0,h,3,False,False,False,False
170241,2005-10-01T09:14:02.000000Z,100.0,327990.0,11838.0,-1.56940578864,-2.72260696208,3.15,0.3,1.0,5.66595688993,1.14839744484,27.0,1,175.68280120400001,1.84649633701e-12,9,3.01,5.2,14,10,3.86437230955e-07,0.0,32,2005-10-01T09:15:12.990000Z,2005-10-01T09:14:02.230000Z,./WAV/MVOE_/2005/10/2005-10-01-0914-02S.MVO___036,6.31213030572e-08,2.25,8.4928319509e-07,19.295,100.0,4.95,-8.39103551719e-08,8.4928319509e-07,-6.8484650260199995e-12,-1.0500415109600001e-10,-7.920556872229999e-07,1.67004883685e-07,1.6700423850799998e-07,8.418457021010001e-08,2.0,01-0914-02L.S200510,8.4928319509e-07,0.025,2.2822432797,h,70.7599999905,2005,0,0,0,0,0,100,0,h,3,False,False,False,False
170242,2005-10-01T09:27:47.000000Z,100.0,327991.0,11839.0,-1.67444810266,-2.79084890852,2.95,0.4,1.0,5.5553804514900005,1.09561042754,18.0,1,109.557589529,1.57615331778e-12,9,3.095,5.2,27,10,3.88537809677e-07,0.0,32,2005-10-01T09:28:53.990000Z,2005-10-01T09:27:57.160000Z,./WAV/MVOE_/2005/10/2005-10-01-0927-47S.MVO___036,6.63610446449e-08,1.7,7.42032942871e-07,18.375,100.0,4.915,-8.33830061913e-08,7.12110344449e-07,-1.6341813392499998e-10,2.64412710636e-10,-7.42032942871e-07,1.59130107746e-07,1.5912870754100001e-07,8.65318083717e-08,47.0,01-0927-47L.S200510,7.42032942871e-07,-0.06,2.10063895577,h,56.8299999237,2005,0,0,0,0,0,100,0,h,3,False,False,False,False
170243,2005-10-01T09:44:28.000000Z,100.0,327992.0,11840.0,-1.37692381996,-2.8274502026099997,3.75,0.85,1.0,6.1699141195500005,1.30105791449,24.0,1,192.657974327,2.9410003814700003e-12,9,4.32,5.05,44,10,5.85048760691e-07,0.0,31,2005-10-01T09:45:05.640000Z,2005-10-01T09:44:32.470000Z,./WAV/MVOE_/2005/10/2005-10-01-0944-28S.MVO___036,6.57607122449e-08,2.4,1.12375150446e-06,22.47,100.0,5.03,-9.70496613197e-08,1.1231024019e-06,-2.03277894235e-10,-3.8956386621699997e-10,-1.0723012967e-06,2.05770832703e-07,2.05768385283e-07,9.82049545298e-08,28.0,01-0944-28L.S200510,1.12375150446e-06,0.005,1.9741015757799998,h,33.1700000763,2005,0,0,0,0,0,100,0,h,3,False,False,False,False
