,filetime,Fs,Unnamed: 0,Unnamed: 0.1,bandratio_[0.8_4.0_16.0],bandratio_[1.0_6.0_11.0],bw_max,bw_min,calib,cft_peak_wmean,cft_std_wmean,coincidence_sum,day,detection_quality,energy,hour,kurtosis,medianF,minute,month,noise_level,num_gaps,num_traces,offtime,ontime,path,peakA,peakF,peakamp,peaktime,percent_availability,quality,sample_lower_quartile,sample_max,sample_mean,sample_median,sample_min,sample_rms,sample_stdev,sample_upper_quartile,second,sfile,signal_level,skewness,snr,subclass,trigger_duration,year,D,R,r,e,l,h,t,new_subclass,weight,checked,split,delete,ignore
186468,2006-07-01T00:20:04.000000Z,100.0,361015.0,28067.0,-0.578519808949,-1.4345728688400001,2.0,0.0,1.0,5.411448539459999,1.07312211139,19.0,1,110.335756564,2.03843005868e-12,0,1.28,8.45,20,7,4.13071389898e-07,0.0,27,2006-07-01T00:21:10.990000Z,2006-07-01T00:20:09.910000Z,./WAV/MVOE_/2006/07/2006-07-01-0020-04S.MVO___027,6.51967415605e-08,0.85,9.06538537233e-07,25.735,100.0,5.01,-1.0044373382899999e-07,8.84275539357e-07,-6.02220239626e-10,6.218128993e-10,-7.26684611943e-07,1.77771593703e-07,1.77760085749e-07,9.748664798389999e-08,4.0,01-0020-04L.S200607,9.06538537233e-07,-0.05,1.99480888414,l,61.0799999237,2006,0,0,0,0,100,0,0,l,3,False,False,False,False
186469,2006-07-01T00:29:26.000000Z,100.0,361016.0,28068.0,-0.5998910028660001,-1.75540424663,2.3,0.25,1.0,5.27870017554,0.986701913022,11.0,1,57.2935391762,2.1555882862400003e-12,0,2.47,7.25,29,7,4.59895352278e-07,0.0,27,2006-07-01T00:30:30.990000Z,2006-07-01T00:29:26.140000Z,./WAV/MVOE_/2006/07/2006-07-01-0029-26S.MVO___027,7.55174498442e-08,1.1,1.08798825466e-06,19.185,100.0,5.09,-1.17759784429e-07,1.03562394696e-06,5.93447760483e-11,-6.29367366438e-10,-8.837781127629999e-07,1.88701910181e-07,1.88701739236e-07,1.14376612266e-07,26.0,01-0029-26L.S200607,1.08798825466e-06,0.06,2.11189471051,l,64.8499999046,2006,0,0,0,0,100,0,0,l,3,False,False,False,False
186470,2006-07-01T01:19:18.000000Z,100.0,361017.0,28069.0,-0.7149191289679999,-1.67704020333,2.15,0.05,1.0,5.3482503716,1.07893890251,20.0,1,115.408707725,1.9373472802799997e-12,1,4.04,8.1,19,7,4.27123253847e-07,0.0,27,2006-07-01T01:20:00.370000Z,2006-07-01T01:19:18.130000Z,./WAV/MVOE_/2006/07/2006-07-01-0119-18S.MVO___027,6.6908357713e-08,0.9,1.11504770149e-06,22.42,100.0,5.095,-1.0153342030299999e-07,9.78136126395e-07,2.6163274465099997e-10,5.453337264340001e-10,-1.11096814772e-06,1.79670522229e-07,1.7966607344200002e-07,1.04849092572e-07,18.0,01-0119-18L.S200607,1.11504770149e-06,0.03,2.21511764062,l,42.2399997711,2006,0,0,0,0,100,0,0,l,3,False,False,False,False
186471,2006-07-01T01:44:38.000000Z,100.0,361018.0,28070.0,-1.06768743666,-2.7366322477900002,3.7,0.2,1.0,4.74831938415,0.831314535133,18.0,1,71.052244587,3.3556006729e-12,1,3.085,6.45,44,7,5.08281377476e-07,0.0,27,2006-07-01T01:45:56.990000Z,2006-07-01T01:44:42.880000Z,./WAV/MVOE_/2006/07/2006-07-01-0144-38S.MVO___027,7.32963381632e-08,1.8,1.22446659434e-06,29.94,100.0,5.155,-1.08272070248e-07,1.08550346782e-06,8.279674404010001e-10,2.0820084585400004e-10,-1.22446659434e-06,2.12680137155e-07,2.12676192333e-07,1.18030485935e-07,38.0,01-0144-38L.S200607,1.22446659434e-06,-0.135,2.46205483408,r,74.1099998951,2006,0,0,100,0,0,0,0,r,3,False,False,False,False
186472,2006-07-01T02:03:44.000000Z,100.0,361019.0,28071.0,-1.00292714294,-1.9651433386200001,2.6,0.3,1.0,5.17867915139,1.13849871609,22.0,1,129.710230427,1.60129107091e-12,2,3.925,7.8,3,7,4.52433505456e-07,0.0,27,2006-07-01T02:04:48.990000Z,2006-07-01T02:03:58.200000Z,./WAV/MVOE_/2006/07/2006-07-01-0203-44S.MVO___027,6.60394828119e-08,1.9,1.13694946615e-06,21.25,100.0,5.02,-9.869614321869999e-08,1.0523128583e-06,-5.443270547310001e-10,-2.60272696058e-09,-8.85164270422e-07,1.63121463396e-07,1.63117291952e-07,9.33839522542e-08,44.0,01-0203-44L.S200607,1.13694946615e-06,-0.02,1.9857832390999999,l,50.789999961899994,2006,0,0,0,0,100,0,0,l,3,False,False,False,False
186473,2006-07-01T02:07:54.000000Z,100.0,361020.0,28072.0,-1.0020853297499999,-1.8351003882499999,2.4,0.25,1.0,5.61507557517,1.14643210166,22.0,1,141.620663638,2.0375622144e-12,2,3.95,7.7,7,7,4.98518122593e-07,0.0,27,2006-07-01T02:08:44.080000Z,2006-07-01T02:07:54.000000Z,./WAV/MVOE_/2006/07/2006-07-01-0207-54S.MVO___027,7.221913740319999e-08,1.45,9.230368916780001e-07,21.63,100.0,5.075,-9.4047988969e-08,8.989948882030001e-07,-8.50017694012e-12,-1.8345298422000003e-11,-8.89719872516e-07,1.82606257153e-07,1.82585054926e-07,8.84534439254e-08,54.0,01-0207-54L.S200607,9.230368916780001e-07,-0.01,2.21791229838,l,50.0799999237,2006,0,0,0,0,100,0,0,l,3,False,False,False,False
186474,2006-07-01T02:27:23.000000Z,100.0,361021.0,28073.0,-0.692671610041,-1.47978170282,2.2,0.0,1.0,5.50583449766,1.06009091525,18.0,1,105.060332373,1.44268585433e-12,2,3.18,8.05,27,7,3.55727115348e-07,0.0,27,2006-07-01T02:28:27.990000Z,2006-07-01T02:27:37.050000Z,./WAV/MVOE_/2006/07/2006-07-01-0227-23S.MVO___027,6.129973673130001e-08,0.95,8.47277255334e-07,20.835,100.0,5.025,-8.91625878046e-08,7.60879462129e-07,-1.79146793761e-11,-9.74553018955e-10,-7.8651242479e-07,1.54863142246e-07,1.54863077919e-07,9.423379616549999e-08,23.0,01-0227-23L.S200607,8.47277255334e-07,-0.045,2.0886743287000002,l,50.9400000572,2006,0,0,0,0,100,0,0,l,3,False,False,False,False
186475,2006-07-01T02:34:16.000000Z,100.0,361022.0,28074.0,-0.827337419901,-1.86400496893,2.3,0.35,1.0,5.72176457837,1.15414033787,25.0,1,165.092982593,2.00599426028e-12,2,4.195,8.15,34,7,4.7502750766e-07,0.0,27,2006-07-01T02:35:20.990000Z,2006-07-01T02:34:19.200000Z,./WAV/MVOE_/2006/07/2006-07-01-0234-16S.MVO___027,6.84247366135e-08,1.15,1.00926194526e-06,21.645,100.0,5.08,-9.4798193498e-08,9.53999293652e-07,2.43996666955e-11,4.55010962612e-10,-9.381336014479999e-07,1.8221664952e-07,1.82208172573e-07,9.44384398005e-08,16.0,01-0234-16L.S200607,1.00926194526e-06,-0.025,2.26716793901,l,61.789999961899994,2006,0,0,0,0,100,0,0,l,3,False,False,False,False
186476,2006-07-01T02:47:54.000000Z,100.0,361023.0,28075.0,-1.16123038909,-1.9728335051599997,2.3,0.35,1.0,5.701876727749999,1.18521729536,22.0,1,148.675184102,2.22444842308e-12,2,4.305,6.75,47,7,5.74538227724e-07,0.0,27,2006-07-01T02:48:58.990000Z,2006-07-01T02:47:59.110000Z,./WAV/MVOE_/2006/07/2006-07-01-0247-54S.MVO___027,6.73381359388e-08,1.45,1.02305488812e-06,23.8,100.0,5.115,-9.39857110848e-08,1.0020764934e-06,4.12628856669e-10,-1.0252560564e-09,-1.02156080645e-06,1.92364192124e-07,1.9235631905e-07,8.92386566375e-08,54.0,01-0247-54L.S200607,1.02305488812e-06,0.1,1.8724039953799998,l,59.8800001144,2006,0,0,0,0,100,0,0,l,3,False,False,False,False
186477,2006-07-01T02:53:02.000000Z,100.0,361024.0,28076.0,-1.1443265124200002,-2.51406558543,2.8,0.4,1.0,4.742610131959999,0.7914417957459999,17.0,1,63.8094979491,4.683102922719999e-12,2,2.585,6.85,53,7,6.209577171319999e-07,0.0,27,2006-07-01T02:54:22.990000Z,2006-07-01T02:53:09.420000Z,./WAV/MVOE_/2006/07/2006-07-01-0253-02S.MVO___027,9.73815633781e-08,1.45,1.56080261322e-06,33.275,100.0,5.18,-1.23474690177e-07,1.46093103286e-06,-1.00411770936e-09,-2.01049672245e-09,-1.5016623660200002e-06,2.4725762693e-07,2.47250570299e-07,1.19942359257e-07,2.0,01-0253-02L.S200607,1.56080261322e-06,0.015,2.27055170757,r,73.5699999332,2006,0,0,100,0,0,0,0,r,3,False,False,False,False
