,filename,starttime,endtime,hours,npts,nRECS,Fs,numValidTimes,numTimeSkips,passed
35,20221202.100hz.100hz_Sensors_100Hz40.pkl,2056-10-19 22:27:13.461400,2022-07-28 08:00:00.000000,9.55,1439902,1439901,100.000095368,1439901,1.0,False
36,20221202.100hz.100hz_Sensors_100Hz41.pkl,2056-10-23 17:28:40.631300,2022-07-28 12:00:00.000000,18.52,1440001,1440000,100.000095368,1440000,0.0,False
37,20221202.100hz.100hz_Sensors_100Hz42.pkl,2022-07-28 12:00:00.010000,2022-07-28 16:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
38,20221202.100hz.100hz_Sensors_100Hz43.pkl,2022-07-28 16:00:00.010000,2022-07-28 20:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
39,20221202.100hz.100hz_Sensors_100Hz44.pkl,2056-11-04 02:33:01.707600,2022-07-29 00:00:00.000000,21.45,1440001,1440000,100.000095368,1440000,0.0,False
40,20221202.100hz.100hz_Sensors_100Hz45.pkl,2022-07-29 00:00:00.010000,2022-07-29 04:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
41,20221202.100hz.100hz_Sensors_100Hz46.pkl,2022-07-29 04:00:00.010000,2022-07-29 08:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
42,20221202.100hz.100hz_Sensors_100Hz47.pkl,2022-07-29 08:00:00.010000,2022-07-29 12:00:00.000000,4.0,1439901,1439901,100.000095368,1439901,1.0,False
43,20221202.100hz.100hz_Sensors_100Hz48.pkl,2022-07-29 12:00:00.010000,2022-07-29 16:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
44,20221202.100hz.100hz_Sensors_100Hz49.pkl,2056-11-22 07:28:01.254700,2022-07-29 20:00:00.000000,12.53,1440001,1440000,100.000095368,1440000,0.0,False
45,20221202.100hz.100hz_Sensors_100Hz5.pkl,2022-07-22 08:00:00.010000,2022-07-22 12:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
46,20221202.100hz.100hz_Sensors_100Hz50.pkl,2056-11-26 02:29:28.437400,2022-07-30 00:00:00.000000,21.51,1440001,1440000,100.000095368,1440000,0.0,False
47,20221202.100hz.100hz_Sensors_100Hz51.pkl,2022-07-30 00:00:00.010000,2022-07-30 04:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
48,20221202.100hz.100hz_Sensors_100Hz52.pkl,2056-12-03 16:32:22.462200,2022-07-30 08:00:00.000000,15.46,1440001,1440000,100.000095368,1440000,0.0,False
49,20221202.100hz.100hz_Sensors_100Hz53.pkl,2056-12-07 11:33:49.566500,2022-07-30 12:00:00.000000,0.44,1439803,77174089,100.000095368,1439803,3.0,False
50,20221202.100hz.100hz_Sensors_100Hz54.pkl,2022-07-30 12:00:00.010000,2022-07-30 16:00:00.000000,4.0,1439703,1439703,100.000095368,1439703,3.0,False
51,20221202.100hz.100hz_Sensors_100Hz55.pkl,2022-07-30 16:00:00.010000,2022-07-30 20:00:00.000000,4.0,1439802,1439802,100.000095368,1439802,2.0,False
52,20221202.100hz.100hz_Sensors_100Hz56.pkl,2022-07-30 20:00:00.010000,2022-07-31 00:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
53,20221202.100hz.100hz_Sensors_100Hz57.pkl,2022-07-31 00:00:00.010000,2022-07-31 04:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
54,20221202.100hz.100hz_Sensors_100Hz58.pkl,2022-07-31 04:00:00.010000,2022-07-31 08:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
55,20221202.100hz.100hz_Sensors_100Hz59.pkl,2022-07-31 08:00:00.010000,2022-07-31 12:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
56,20221202.100hz.100hz_Sensors_100Hz6.pkl,2022-07-22 12:00:00.010000,2022-07-22 16:00:00.000000,4.0,1439901,1439901,100.000095368,1439901,1.0,False
57,20221202.100hz.100hz_Sensors_100Hz60.pkl,2022-07-31 12:00:00.010000,2022-07-31 16:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
58,20221202.100hz.100hz_Sensors_100Hz61.pkl,2022-07-31 16:00:00.010000,2022-07-31 20:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
59,20221202.100hz.100hz_Sensors_100Hz62.pkl,2022-07-31 20:00:00.010000,2022-08-01 00:00:00.000000,4.0,1439802,1439802,100.000095368,1439802,2.0,False
60,20221202.100hz.100hz_Sensors_100Hz63.pkl,2022-08-01 00:00:00.010000,2022-08-01 04:00:00.000000,4.0,1439802,1439802,100.000095368,1439802,2.0,False
61,20221202.100hz.100hz_Sensors_100Hz64.pkl,2022-08-01 04:00:00.010000,2022-08-01 08:00:00.000000,4.0,1439901,1439901,100.000095368,1439901,1.0,False
62,20221202.100hz.100hz_Sensors_100Hz65.pkl,2022-08-01 08:00:00.010000,2022-08-01 12:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
63,20221202.100hz.100hz_Sensors_100Hz66.pkl,2022-08-01 12:00:00.010000,2022-08-01 16:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
64,20221202.100hz.100hz_Sensors_100Hz67.pkl,2022-08-01 16:00:00.010000,2022-08-01 20:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
65,20221202.100hz.100hz_Sensors_100Hz68.pkl,2022-08-01 20:00:00.010000,2022-08-02 00:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
66,20221202.100hz.100hz_Sensors_100Hz69.pkl,2022-08-02 00:00:00.010000,2022-08-02 04:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
67,20221202.100hz.100hz_Sensors_100Hz7.pkl,2056-06-18 07:03:51.496200,2022-07-22 20:00:00.000000,12.94,1439803,1439802,100.000095368,1439802,2.0,False
68,20221202.100hz.100hz_Sensors_100Hz70.pkl,2022-08-02 04:00:00.010000,2022-08-02 08:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
69,20221202.100hz.100hz_Sensors_100Hz71.pkl,2022-08-02 08:00:00.010000,2022-08-02 12:00:00.000000,4.0,1439901,1439901,100.000095368,1439901,1.0,False
70,20221202.100hz.100hz_Sensors_100Hz72.pkl,2022-08-02 12:00:00.010000,2022-08-02 16:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
71,20221202.100hz.100hz_Sensors_100Hz73.pkl,2022-08-02 16:00:00.010000,2022-08-02 20:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
72,20221202.100hz.100hz_Sensors_100Hz74.pkl,2022-08-02 20:00:00.010000,2022-08-03 00:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
73,20221202.100hz.100hz_Sensors_100Hz75.pkl,2022-08-03 00:00:00.010000,2022-08-03 04:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
