,Fs,Unnamed: 0,bandratio_[0.8_4.0_16.0],bandratio_[1.0_6.0_11.0],bw_max,bw_min,calib,energy,filetime,id,kurtosis,medianF,noise_level,num_gaps,peakA,peakF,peakamp,peaktime,percent_availability,quality,sample_lower_quartile,sample_max,sample_mean,sample_median,sample_min,sample_rms,sample_stdev,sample_upper_quartile,signal_level,skewness,snr,starttime,units
12,75.19,12,-1.50295296423,-3.68762273812,3.9,1.3,1.0,45018731.7606,1901-03-06T21:13:28.040000Z,MV.MBGB..SHN,3.25,6.9,1599.51614781,0,303.7402571,2.5,4256.80221339,33.89,100.0,5.41,-319.986176165,3515.09904099,-0.530927066473,7.12488469569,-4256.80221339,733.004086379,733.003894099,346.620193337,4256.80221339,-0.22,2.66130618264,1901-03-06T21:13:28.040000Z,Counts
13,75.19,13,-1.63911057581,-3.72828870928,3.7,1.2,1.0,48031684.0499,1901-03-06T21:13:28.040000Z,MV.MBGB..SHE,2.92,10.4,1736.39651759,0,293.985711068,2.3,3922.99915174,42.28,100.0,5.43,-342.96744517,3438.10199632,-0.315369780549,-4.34088656539,-3922.99915174,757.135613412,757.135547731,345.99751957,3922.99915174,-0.09,2.25927609967,1901-03-06T21:13:28.040000Z,Counts
14,75.19,14,0.152900434474,-1.83356164965,5.0,2.4,1.0,318997401.555,1901-03-06T21:13:28.040000Z,MV.MBLG..SHZ,4.02,6.7,4543.5355774,0,720.140488899,3.7,11077.9069788,24.48,100.0,5.55,-651.438572772,10013.4836253,0.0857017623094,-17.7129986532,-11077.9069788,1951.20697782,1951.20697594,641.455044049,11077.9069788,-0.01,2.43816886434,1901-03-06T21:13:28.040000Z,Counts
0,75.19,0,-1.11948967819,-2.63426750102,3.7,2.1,1.0,1545826140.2,1901-03-06T21:24:49.040000Z,MV.MBRY..SHZ,6.95,4.5,10230.9240646,0,1134.99456467,2.9,25571.1412047,47.91,100.0,5.68,-746.945462543,25571.1412047,0.029807267199,2.47913742435,-22766.3071783,3823.63828652,3823.6382864,828.535554363,25571.1412047,-0.17,2.4993970284,1901-03-06T21:24:49.040000Z,Counts
1,75.19,1,-2.23238975955,-3.45065325985,3.1,1.7,1.0,16180543872.0,1901-03-06T21:24:49.040000Z,MV.MBRY..SHN,10.17,3.5,35476.0366374,0,3886.5235351,2.4,98112.2758739,42.24,100.0,5.79,-2339.13740742,80606.3574869,0.0228181707602,1.20316721449,-98112.2758739,12370.6647002,12370.6647002,2068.46389159,98112.2758739,-0.08,2.76559292338,1901-03-06T21:24:49.040000Z,Counts
2,75.19,2,-2.07348170543,-3.486706001,3.1,2.1,1.0,11681432912.1,1901-03-06T21:24:49.040000Z,MV.MBRY..SHE,6.97,3.7,28900.2075627,0,3689.28824822,2.6,66497.4969675,46.44,100.0,5.79,-1834.35060752,66497.4969675,0.695056294298,9.11170686083,-60257.8327407,10511.0121389,10511.0121159,2123.98286041,66497.4969675,-0.1,2.30093492662,1901-03-06T21:24:49.040000Z,Counts
3,75.19,3,-0.801244962008,-1.95427258691,3.1,1.7,1.0,322492475.296,1901-03-06T21:24:49.040000Z,MV.MBSS..SHZ,5.12,4.8,4163.06732545,0,545.730934601,2.3,10254.1147593,45.19,100.0,5.57,-362.224056679,9415.02736588,-0.0661919038453,-0.527421239293,-10254.1147593,1746.45046015,1746.45045889,389.535706172,10254.1147593,-0.14,2.46311528439,1901-03-06T21:24:49.040000Z,Counts
4,75.19,4,0.340346809616,-0.875303111749,1.4,0.6,1.0,3558468.11638,1901-03-06T21:24:49.040000Z,MV.MBBY..SHZ,0.06,11.2,340.155822917,0,82.0763787522,1.0,765.940040603,43.08,100.0,4.97,-128.09491745,765.940040603,0.0675428199181,-6.19089592009,-680.948214609,183.454351483,183.454339049,123.134123732,765.940040603,0.15,2.25173285006,1901-03-06T21:24:49.040000Z,Counts
5,75.19,5,-2.05010684954,-3.46830037032,3.3,1.8,1.0,4571235299.72,1901-03-06T21:24:49.040000Z,MV.MBBY..SHN,6.09,4.2,17850.7944923,0,2012.94408535,2.4,44633.7092907,56.26,100.0,5.75,-1410.59301071,35607.765797,0.598427160642,-5.2113720299,-44633.7092907,6575.26508719,6575.26505996,1408.25696382,44633.7092907,-0.14,2.50037662525,1901-03-06T21:24:49.040000Z,Counts
6,75.19,6,-1.81452621819,-3.41101708605,3.3,1.8,1.0,4397092715.13,1901-03-06T21:24:49.040000Z,MV.MBBY..SHE,9.18,4.1,14059.4672387,0,1882.74070013,2.5,49072.9311334,52.08,100.0,5.74,-1242.97689802,49072.9311334,-0.272592650783,1.01495113225,-43370.7663241,6448.80566438,6448.80565862,1269.78518657,49072.9311334,0.25,3.49038340501,1901-03-06T21:24:49.040000Z,Counts
