,Unnamed: 0,Fs,bandratio_[0.8_4.0_16.0],bandratio_[1.0_6.0_11.0],bw_max,bw_min,calib,cft_peak_wmean,cft_std_wmean,coincidence_sum,day,detection_quality,energy,filetime,hour,kurtosis,mainclass,medianF,minute,month,noise_level,num_gaps,num_traces,offtime,ontime,path,peakA,peakF,peakamp,peaktime,percent_availability,quality,sample_lower_quartile,sample_max,sample_mean,sample_median,sample_min,sample_rms,sample_stdev,sample_upper_quartile,second,sfile,signal_level,skewness,snr,subclass,trigger_duration,year
374438,36985,100.0,-0.827800548258,-1.68701217546,2.5,0.65,1.0,6.17611372515,1.37418900915,19.0,20,161.255804407,6.39041392631e-12,2006-10-20T17:55:14.000000Z,17,7.705,LV,5.05,55,10,8.678814721790001e-07,0.0,20,2006-10-20T17:56:24.990000Z,2006-10-20T17:55:32.350000Z,./WAV/MVOE_/2006/10/2006-10-20-1755-14S.MVO___025,1.05162171324e-07,1.55,2.11673705318e-06,22.535,100.0,5.285,-1.09858193528e-07,1.95577949705e-06,-4.9410015267e-11,1.9954039871899998e-09,-2.11673705318e-06,2.9930989092e-07,2.99309831566e-07,1.15300230773e-07,14.0,20-1755-15L.S200610,2.11673705318e-06,0.035,2.06512089824,l,52.6399998665,2006
374437,36984,100.0,-0.827800548257,-1.68701217546,2.5,0.65,1.0,6.17611372515,1.37418900915,19.0,20,161.255804407,6.3904139263e-12,2006-10-20T17:55:14.000000Z,17,7.705,LV,5.05,55,10,8.678814721780001e-07,0.0,20,2006-10-20T17:56:24.990000Z,2006-10-20T17:55:32.350000Z,./WAV/MVOE_/2006/10/2006-10-20-1755-14S.MVO___025,1.05162171324e-07,1.55,2.11673705317e-06,22.535,100.0,5.285,-1.09858193528e-07,1.95577949705e-06,-4.94100152669e-11,1.9954039871899998e-09,-2.11673705317e-06,2.99309890919e-07,2.99309831566e-07,1.15300230773e-07,14.0,20-1755-14L.S200610,2.11673705317e-06,0.035,2.06512089824,l,52.6399998665,2006
