statistic,peaktime,kurtosis,medianF,peakF,bw_min,bw_max,band_ratio
mean,32.4277195376,3.75347229871,6.35850773096,2.17403793712,0.920078098103,3.92281424973,-1.63178950634
std,15.6531862854,3.2523879631,0.890798839662,0.881070323733,0.676333528802,1.05446949407,0.388016402534
25%,18.406703019,1.8241625736,5.78175965232,1.54198242188,0.3,3.45,-1.87394955445
50%,30.8950658333,3.05409250521,6.35641693531,2.3496875,0.9,4.0,-1.60766542491
75%,42.3194573746,4.82707300437,6.95724681685,2.86368164062,1.55,4.65,-1.34973589417
