,mseed,best_predicted_class,all_predicted_classes,prob_r_mean,prob_r_std,prob_e_mean,prob_e_std,prob_l_mean,prob_l_std,prob_h_mean,prob_h_std,prob_t_mean,prob_t_std,count,MVO_subclass,GT_subclass
281,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-03-2114-32S.MVO_18_1.mseed,t,['t'],0.005,0.02,0.009,0.025,0.03,0.104,0.125,0.119,0.836,0.144,32,['t'],['t']
282,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-11-1724-41S.MVO_18_1.mseed,r,['r'],0.753,0.127,0.077,0.134,0.075,0.08,0.1,0.11,0.033,0.067,28,['r'],['r']
283,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-0659-30S.MVO_18_1.mseed,l,['l'],0.064,0.107,0.049,0.104,0.784,0.127,0.116,0.138,0.012,0.025,34,['l'],['l']
284,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/10/9810-18-1801-49S.MVO_13_1.mseed,t,['t'],0.008,0.026,0.02,0.057,0.001,0.002,0.041,0.087,0.941,0.092,16,['t'],['t']
285,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-24-0718-43S.MVO_21_1.mseed,h,['h'],0.021,0.064,0.01,0.026,0.116,0.133,0.803,0.148,0.056,0.092,34,['h'],['h']
286,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-1932-27S.MVO_18_1.mseed,l,['l'],0.051,0.085,0.064,0.106,0.777,0.13,0.115,0.122,0.026,0.037,34,['l'],['l']
287,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1.mseed,h,['h'],0.025,0.068,0.008,0.027,0.036,0.049,0.893,0.085,0.042,0.063,34,['h'],['h']
288,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-07-1554-53S.MVO_18_1.mseed,e,['e' 'r'],0.556,0.44,0.846,0.128,0.019,0.07,0.002,0.006,0.0,0.0,34,['e'],['e' 'r']
289,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-26-2351-59S.MVO_18_1.mseed,e,['e' 'r'],0.555,0.43,0.804,0.152,0.022,0.057,0.021,0.065,0.0,0.0,32,['e'],['e' 'r']
290,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-25-0144-02S.MVO_18_1.mseed,e,['e' 'r'],0.519,0.419,0.795,0.153,0.061,0.092,0.021,0.073,0.001,0.006,34,['e'],['e' 'r']
