statistic,peaktime,kurtosis,medianF,peakF,bw_min,bw_max,band_ratio
mean,19.5450261749,9.75939331955,6.16011307149,1.6563592948,0.533234988977,3.40597077227,-1.59437686276
std,9.02128966545,8.4841720613,1.37926551834,0.980288224303,0.533871093512,1.29709134235,0.560813457499
25%,14.6828035643,3.80108424056,5.2514917662,1.10141601562,0.0,2.6,-1.96914881594
50%,15.5206809416,8.01152180032,5.98279052866,1.762265625,0.45,3.55,-1.532610583
75%,20.8933333333,11.4581366884,6.9608762758,2.3496875,0.8,4.3,-1.25231930801
