statistic,peaktime,kurtosis,medianF,peakF,bw_min,bw_max,band_ratio
mean,17.9175180747,39.1946068822,10.4165412026,4.15921237037,1.76110925418,8.77249481917,-0.51940237791
std,4.13326953307,16.1186346796,0.975789485561,1.61092851187,1.03467173146,2.63892986046,0.331154016228
25%,13.8382763665,25.4335584336,9.80391748416,3.2,0.8,6.7,-0.65202020879
50%,19.72,39.2384877551,10.4825419958,4.55,2.2,9.85,-0.445970035727
75%,21.52,54.25,11.3,5.0,2.5,10.6,-0.344367953656
