statistic,peaktime,kurtosis,medianF,peakF,bw_min,bw_max,band_ratio
mean,30.8363804294,2.60008062144,6.95750818382,2.47085077106,0.858393334705,4.6102036618,-1.31405676481
std,16.3022314345,2.81208381767,0.933101135162,1.33051994358,0.848945470161,1.45635678909,0.46088492674
25%,20.2753025669,0.986567815619,6.50272971981,1.4685546875,0.0,4.0,-1.51056991723
50%,27.397260274,1.90562118616,7.11365321511,3.04725097656,0.7,4.95,-1.25793166391
75%,36.6139114244,3.48787317654,7.46521427933,3.52453125,1.65,5.5,-1.00861251723
