,Unnamed: 0,Fs,bandratio_[0.8_4.0_16.0],bandratio_[1.0_6.0_11.0],bw_max,bw_min,calib,cft_peak_wmean,cft_std_wmean,coincidence_sum,day,detection_quality,energy,filetime,hour,kurtosis,mainclass,medianF,minute,month,noise_level,num_gaps,num_traces,offtime,ontime,path,peakA,peakF,peakamp,peaktime,percent_availability,quality,sample_lower_quartile,sample_max,sample_mean,sample_median,sample_min,sample_rms,sample_stdev,sample_upper_quartile,second,sfile,signal_level,skewness,snr,subclass,trigger_duration,year
130960,65616,75.19,0.806887496976,-0.343495063298,1.85,0.0,1.0,5.20469821299,1.08459348873,14.0,17,79.0297450967,1.96958938972e-12,1999-05-17T03:26:13.040000Z,3,0.5,LV,9.6,26,5,4.55554956428e-07,0.0,20,1999-05-17T03:26:58.910461Z,1999-05-17T03:26:13.040000Z,./WAV/MVOE_/1999/05/9905-17-0326-13S.MVO_23_1,1.11837911748e-07,0.7,8.04337225709e-07,14.065,100.0,4.57,-1.93629084084e-07,7.14705692354e-07,-1.9276986854400003e-08,-2.33893105254e-08,-8.04337225709e-07,2.19393392771e-07,2.0411156481400001e-07,1.05791012638e-07,13.04,17-0326-14L.S199905,8.04337225709e-07,0.03,1.95137942062,t,45.8704614639,1999
130959,65615,75.19,0.8068874969740001,-0.343495063298,1.85,0.0,1.0,5.20469821299,1.08459348873,14.0,17,79.0297450967,1.96958938972e-12,1999-05-17T03:26:13.040000Z,3,0.5,LV,9.6,26,5,4.55554956428e-07,0.0,20,1999-05-17T03:26:58.910461Z,1999-05-17T03:26:13.040000Z,./WAV/MVOE_/1999/05/9905-17-0326-13S.MVO_23_1,1.11837911747e-07,0.7,8.04337225709e-07,14.065,100.0,4.57,-1.93629084085e-07,7.147056923529998e-07,-1.9276986854400003e-08,-2.33893105254e-08,-8.04337225709e-07,2.1939339277e-07,2.0411156481400001e-07,1.05791012638e-07,13.0,17-0326-13L.S199905,8.04337225709e-07,0.03,1.95137942062,r,45.8704614639,1999
