,Description,Date,Age,Miles,eq25_15k,Minutes,Seconds
9, sileby,1985-09-01,14,9.0,56.41799831112247,56.0,25.0
24, sileby,1988-09-11,17,9.0,57.942528780191395,57.0,56.0
127, Final leg of Skagway-Whitehorse Klondike Relay,2009-09-12,38,12.1,59.06144532133561,59.0,3.0
159, Halloween Run,2012-10-27,41,10.0,59.06279032147676,59.0,3.0
12, sileby,1986-09-07,15,9.0,59.197414404391,59.0,11.0
101, Santa Claus Half,2007-07-07,35,13.112,59.43395175422168,59.0,26.0
143, Santa Claus Half,2010-08-07,39,13.112,59.54055336564262,59.0,32.0
34, St Andrews Half,1991-05-15,19,13.112,59.98117335951584,59.0,58.0
146, Murphy Dome Roam,2011-05-15,39,11.0,60.5661864581256,60.0,33.0
124, Santa Claus Half,2009-08-08,38,13.112,60.76291850993607,60.0,45.0
28, sileby,1989-09-10,18,9.0,61.58273418592743,61.0,34.0
71, Santa Claus Half M,1999-07-10,27,13.112,63.228969120807164,63.0,13.0
142, Gold Discovery.,2010-07-25,39,16.3,63.339200721380536,63.0,20.0
52, Santa Claus Half M,1998-08-08,27,13.112,63.37821137679648,63.0,22.0
50, Grandmas over the hill,1998-07-23,27,9.0,63.470248100012775,63.0,28.0
75, Gold Discovery Run,2000-07-23,29,16.3,64.19848697354168,64.0,11.0
25, Bellshire Half M in Melton,1988-10-18,17,13.112,64.47976136147953,64.0,28.0
84, Robin Hood Half Marathon,2004-09-12,33,13.112,64.8848474848791,64.0,53.0
85, Turkey Trot - Keyworth,2004-12-12,33,12.6,65.21324913659183,65.0,12.0
3, Barrow,1984-06-02,12,9.2,65.31625344542459,65.0,18.0
54, Musk Ox Run,1998-08-27,27,11.5,65.69824756340552,65.0,41.0
51, Gold Discovery Run,1998-07-26,27,16.3,66.26308078745903,66.0,15.0
137, Murphy Dome Roam,2010-05-09,38,11.0,66.40562204380507,66.0,24.0
167, Murphy Dome Roam,2014-05-18,42,11.0,66.59153750384118,66.0,35.0
197, Trout Creek 15km trail race,2019-02-10,47,9.323,66.77630485399402,66.0,46.0
5, sileby,1984-09-01,13,9.0,67.9090170847849,67.0,54.0
155, Santa Claus Half,2012-08-04,41,13.112,69.73877419157925,69.0,44.0
128, Equinox Marathon,2009-09-18,38,26.224,72.18510734826745,72.0,11.0
91, Turkey Trot - Keyworth,2005-12-11,34,13.112,72.48909576623953,72.0,29.0
74, Santa Claus Half M,2000-07-01,28,13.112,72.844434470976,72.0,50.0
145, Equinox Marathon,2010-09-18,39,26.224,74.44299819436173,74.0,26.0
154, Gold Discovery Run,2012-07-22,41,16.3,74.80980713445766,74.0,48.0
107, Equinox Leg 2,2007-09-15,36,8.7,76.00766231544476,76.0,0.0
173, Spacecoast Marathon,2015-11-29,44,26.224,76.87612833000361,76.0,52.0
113, Equinox Marathon,2008-09-18,37,26.224,77.21312696374902,77.0,12.0
157, Equinox Marathon,2012-09-15,41,26.224,78.64537115716702,78.0,38.0
55, Equinox Marathon,1998-09-19,27,26.224,82.55455530861381,82.0,33.0
36, Leeds Half M,1995-07-01,23,13.112,84.71274720917404,84.0,42.0
165, Sourdough Triathlon,2013-07-14,41,13.112,86.47522718466693,86.0,28.0
78, Leeds Half M with Tanya,2001-06-01,29,13.112,98.96182926910642,98.0,57.0
