,Description,Date,Age,Miles,eq_1Mi,Minutes,Seconds
32, Track meet mile  Glasgow,1991-05-01,19,1.0,4.87,4.0,52.0
72, Mapco Mile,1999-07-21,28,1.0,4.88,4.0,52.0
61, Presbyterian 5k,1999-05-22,27,3.108,4.920899126426871,4.0,55.0
29, St Andrews 1500m,1991-04-01,19,0.932,4.936773747367687,4.0,56.0
33, Track meet 5k  Glasgow,1991-05-01,19,3.108,4.994697853577844,4.0,59.0
49, Mapco Mile,1998-07-22,27,1.0,5.02,5.0,1.0
48, Track meet mile,1998-07-08,26,1.0,5.05,5.0,2.0
64, Track meet mile,1999-06-09,27,1.0,5.15,5.0,9.0
99, Flint Hills Mile,2007-06-28,35,1.0,5.16,5.0,9.0
123, Golden Mile,2009-07-25,38,1.0,5.17,5.0,10.0
42, Track meet mile,1998-06-10,26,1.0,5.2,5.0,12.0
140, Valkyeries,2010-07-17,38,4.972,5.215443673777173,5.0,12.0
139, Flint Hills Mile,2010-07-01,38,1.0,5.23,5.0,13.0
117, Midnight Sun Run,2009-06-19,37,6.215,5.243267149412798,5.0,14.0
119, Flint Hills Mile,2009-07-02,37,1.0,5.25,5.0,15.0
141, Golden Mile,2010-07-24,39,1.0,5.25,5.0,15.0
122, Fast mile during run around Patty center,2009-09-19,38,1.0,5.27,5.0,16.0
58, Alaskaland Run for Youth,1999-04-24,27,3.108,5.313508354870047,5.0,18.0
56, Miller Hill / Yankovich Cookie Challenge,1998-10-10,27,6.5,5.316066616497033,5.0,18.0
106, Yankovitch loop run SUPER FAST  HILLY,2007-08-26,36,5.25,5.3188039892338,5.0,19.0
70, Track meet mile,1999-07-07,27,1.0,5.32,5.0,19.0
98, Midnight Sun Run,2007-06-23,35,6.215,5.329313354617561,5.0,19.0
163, Golden Mile,2013-07-20,42,1.0,5.35,5.0,20.0
53, GCI 5k,1998-08-15,27,3.108,5.351883692988552,5.0,21.0
105, Morning run near Pioneer Park,2007-08-05,36,5.0,5.373413964840973,5.0,22.0
86, LRRL Beaumont Markfield,2005-01-23,33,6.215,5.377887825297669,5.0,22.0
87, LRRL Barrow ,2005-01-30,33,6.0,5.4176332450442874,5.0,25.0
168, Flint Hills Mile,2014-05-26,42,1.0,5.43,5.0,25.0
104, GCI 8k,2007-08-04,36,4.972,5.4399729438008,5.0,26.0
136, Beet Beethoven,2010-04-10,38,3.108,5.452249961913875,5.0,27.0
22, thringstone,1988-08-07,17,4.5,5.453969686809023,5.0,27.0
97, Chena River Run,2007-05-05,35,3.108,5.455201910999914,5.0,27.0
44, Midnight Sun Run,1998-06-20,26,6.215,5.458382662424705,5.0,27.0
162, Flint Hills Mile,2013-06-27,41,1.0,5.46,5.0,27.0
135, Spring Fling,2010-04-03,38,6.215,5.472261082619021,5.0,28.0
90, Rushcliffe Country Park,2005-08-05,34,4.0,5.491825671342879,5.0,29.0
153, Golden Mile,2012-07-21,41,1.0,5.5,5.0,30.0
112, Run Lu Lu Run,2008-08-17,37,6.215,5.500017923007655,5.0,30.0
81, Livingstone Relays,2004-04-11,32,3.0,5.5006761584576465,5.0,30.0
