,Description,Date,Age,Miles,eq_5k,Minutes,Seconds
61, Presbyterian 5k,1999-05-22,27,3.108,16.667078615759902,16.0,40.0
33, Track meet 5k  Glasgow,1991-05-01,19,3.108,16.9170348037587,16.0,55.0
140, Valkyeries,2010-07-17,38,4.972,17.664700595078045,17.0,39.0
117, Midnight Sun Run,2009-06-19,37,6.215,17.758938669029252,17.0,45.0
58, Alaskaland Run for Youth,1999-04-24,27,3.108,17.99684553591351,17.0,59.0
56, Miller Hill / Yankovich Cookie Challenge,1998-10-10,27,6.5,18.00551036454771,18.0,0.0
106, Yankovitch loop run SUPER FAST  HILLY,2007-08-26,36,5.25,18.01478184226594,18.0,0.0
98, Midnight Sun Run,2007-06-23,35,6.215,18.05037704845747,18.0,3.0
53, GCI 5k,1998-08-15,27,3.108,18.126822753672883,18.0,7.0
105, Morning run near Pioneer Park,2007-08-05,36,5.0,18.19974575501137,18.0,11.0
86, LRRL Beaumont Markfield,2005-01-23,33,6.215,18.214898714263725,18.0,12.0
87, LRRL Barrow ,2005-01-30,33,6.0,18.34951639662501,18.0,20.0
104, GCI 8k,2007-08-04,36,4.972,18.425180925781405,18.0,25.0
136, Beet Beethoven,2010-04-10,38,3.108,18.46676316935125,18.0,28.0
22, thringstone,1988-08-07,17,4.5,18.47258787522075,18.0,28.0
97, Chena River Run,2007-05-05,35,3.108,18.476761416871206,18.0,28.0
44, Midnight Sun Run,1998-06-20,26,6.215,18.4875346175998,18.0,29.0
135, Spring Fling,2010-04-03,38,6.215,18.534540807830158,18.0,32.0
90, Rushcliffe Country Park,2005-08-05,34,4.0,18.60080604309872,18.0,36.0
112, Run Lu Lu Run,2008-08-17,37,6.215,18.628553188290876,18.0,37.0
81, Livingstone Relays,2004-04-11,32,3.0,18.63078263086038,18.0,37.0
60, Law Days 10k,1999-05-01,27,6.215,18.70846371168248,18.0,42.0
59, Alaskaland Couch Potato Challenge,1999-04-25,27,3.108,18.72671760487,18.0,43.0
17, Leicester,1987-09-06,16,5.0,18.747285522657233,18.0,44.0
101, Santa Claus Half,2007-07-07,35,13.112,18.831691905939685,18.0,49.0
24, sileby,1988-09-11,17,9.0,18.8836016149253,18.0,53.0
152, Valkyries,2012-07-14,40,5.37,18.88818040703911,18.0,53.0
172, AGU Run,2014-12-18,43,3.108,18.92668255526904,18.0,55.0
83, Crossdale 10k,2004-09-05,33,6.215,18.92939280576517,18.0,55.0
80, Desford 10k,2004-03-28,32,6.215,18.99050085306463,18.0,59.0
127, Final leg of Skagway-Whitehorse Klondike Relay,2009-09-12,38,12.1,19.03846227965238,19.0,2.0
110, Fairbanks run for women,2008-06-01,36,5.0,19.134134271537462,19.0,8.0
169, Midnight Sun Run,2014-06-21,42,6.215,19.183226233009098,19.0,10.0
125, Run Lu Lu Run,2009-08-15,38,6.837,19.218210311860876,19.0,13.0
132, UAF campus afternoon run,2010-03-18,38,3.0,19.223060717842557,19.0,13.0
67, 1st Salmon Run in Nenana,1999-07-04,27,3.108,19.2266299808676,19.0,13.0
43, Mosquito Meander,1998-06-13,26,3.108,19.326612456067117,19.0,19.0
177, Midnight Sun Run,2016-06-18,44,6.215,19.333646041746245,19.0,20.0
88, Holme Pierrepont,2005-07-28,34,6.215,19.333646041746245,19.0,20.0
89, Wollaton Park,2005-07-30,34,3.108,19.346608951107026,19.0,20.0
161, Midnight Sun Run,2013-06-22,41,6.215,19.352448517838386,19.0,21.0
143, Santa Claus Half,2010-08-07,39,13.112,19.360171075952774,19.0,21.0
71, Santa Claus Half M,1999-07-10,27,13.112,19.360171075952774,19.0,21.0
138, Midnight Sun Run,2010-06-19,38,6.215,19.399454708068745,19.0,23.0
150, Midnight Sun Run,2012-06-23,40,6.215,19.408855946114816,19.0,24.0
52, Santa Claus Half M,1998-08-08,27,13.112,19.410191738135083,19.0,24.0
79, Trent Toll Bridge (Notts AC),2003-07-26,32,5.0,19.413855674573934,19.0,24.0
50, Grandmas over the hill,1998-07-23,27,9.0,19.439001662423102,19.0,26.0
95, Beet Beethoven,2007-04-14,35,3.108,19.4765861688664,19.0,28.0
38, Law Days Judicata,1998-04-25,26,6.215,19.58747946899018,19.0,35.0
124, Santa Claus Half,2009-08-08,38,13.112,19.601575141267393,19.0,36.0
159, Halloween Run,2012-10-27,41,10.0,19.60642881738992,19.0,36.0
34, St Andrews Half,1991-05-15,19,13.112,19.645071369252012,19.0,38.0
129, Cache Creek Warm-up,2009-10-24,38,6.8,19.65031836560937,19.0,39.0
75, Gold Discovery Run,2000-07-23,29,16.3,19.67775515950188,19.0,40.0
207, St Pete Run Festival,2021-11-13,50,6.215,19.766102991865537,19.0,45.0
208, Turkey Trot Clearwater,2021-11-25,50,3.107,19.78346756146627,19.0,47.0
57, Beat Beethoven,1999-04-03,27,3.108,19.816526584544764,19.0,48.0
166, Donate Life USF 5k,2014-04-06,42,3.108,19.826524832064713,19.0,49.0
