,Date,Age,Miles,Mins,Pace,Mins25,Pace25,Description,Age.1,comments,eq_100m,eq25_100m,eq_200m,eq25_200m,eq_400m,eq25_400m,eq_800m,eq25_800m,eq_1Mi,eq25_1Mi,eq_5k,eq25_5k,eq_5Mi,eq25_5Mi,eq_10k,eq25_10k,eq_15k,eq25_15k,eq_20k,eq25_20k,eq_HMa,eq25_HMa,eq_16.3,eq25_16.3,eq_Mar,eq25_Mar
0,1983-09-04,12,6.0,42.75,7.12,31.57,5.26, Leicester,12.13, James Longstaff 43m40s,0.22848283669758865,0.1687298983518801,0.6069680084544982,0.4482334509218364,1.3705937450676193,1.0121554276440876,2.9236263313899773,2.15903820542647,6.162954263588167,4.551215581321133,20.873917667794554,15.414960953737404,35.07325931217431,25.900884128312114,44.40674210247644,32.79347013275278,,,,,,,,,,
1,1984-05-01,12,0.249,1.27,5.11,1.03,4.16, Humphries Sports Day,12.79, ,0.21133396151526618,0.17139683492970406,0.5614117698892979,0.4553182070755723,1.267723256414917,1.0281535071711532,,,,,,,,,,,,,,,,,,,,
2,1984-05-01,12,0.497,3.17,6.37,2.47,4.96, Humphries athletics class,12.79, ,0.24784584610292326,0.19311647945559007,0.6584061270734346,0.5130167614736226,1.4867461001426,1.1584425449060638,3.1713920059177108,2.471084622907491,,,,,,,,,,,,,,,,,,
3,1984-06-02,12,9.2,92.5,10.05,64.43,7.0, Barrow,12.87, James Longstaff 91m30s,0.31410407658899653,0.218786223293287,0.8344220886359227,0.5812088126574325,1.884207535653651,1.312426935374754,4.019220709903835,2.799550165828153,8.472448460479965,5.901403830364586,28.69617135625551,19.988046707930188,48.21654829066293,33.58478060937743,61.0476433329895,42.52215848588664,93.7723644839636,65.31625344542459,,,,,,,,
4,1984-09-01,13,5.0,37.5,7.5,28.68,5.74, Leicester,13.12, ,0.2442917066788113,0.18683429726795492,0.6489645035396806,0.49632805230714777,1.4654259811603871,1.1207577903914643,3.125913860793322,2.3906989207347333,6.589372913065287,5.0395524039123325,22.31819705078242,17.068957104438397,37.5,28.68,,,,,,,,,,,,
5,1984-09-01,13,9.0,93.33,10.37,65.48,7.28, sileby,13.12, Neil D 93m45s,0.3242192117534913,0.22747105952661106,0.8612930936303484,0.6042802075529328,1.9448849203857024,1.3645244250172055,4.148652206553306,2.9106798080479,8.745287839970441,6.135663213985476,29.620277961697113,20.78148292008922,49.76927217894159,34.917946451056416,63.01356867370089,44.210098325875215,96.79212835251948,67.9090170847849,,,,,,,,
6,1985-05-01,13,0.497,3.03,6.1,2.5,5.03, Humphries athletics class,13.79, ,0.23689997277345662,0.19546202374047578,0.6293282539534722,0.5192477342850431,1.4210853890952926,1.1725126972733437,3.031330529315667,2.501097796465072,,,,,,,,,,,,,,,,,,
7,1985-05-01,13,0.932,6.5,6.97,5.23,5.61, Humphries athletics class 1500m,13.79, ,0.25975010983056823,0.20899893452521107,0.6900299783496213,0.555208736425926,1.55815588146609,1.2537161938565617,3.3237168780743804,2.674313734204463,7.006338287748901,5.637407576142578,,,,,,,,,,,,,,,,
8,1985-06-01,13,4.0,26.45,6.61,21.62,5.4, barrow,13.87, Adam Mayes 22m30s; Steve Warriner 27m00s; Mick Greaves 27m30s; Chris Harrison 32m00s,0.2198067232713018,0.17966810423915106,0.583919785823891,0.47729095536909366,1.3185485806892332,1.0777701442155474,2.8126083046802006,2.2990015707820777,5.928930163551801,4.846255959772777,20.08127836081474,16.414262312318137,,,,,,,,,,,,,,
9,1985-09-01,14,9.0,67.17,7.46,54.4,6.04, sileby,14.12, Neil D 102m,0.23334195278562103,0.18898023271606051,0.6198763216452428,0.502028761314593,1.3997419918815777,1.1336305546874768,2.9858027291780305,2.41815793460302,6.294021045867508,5.097435535137597,21.31784068024424,17.265007190788847,35.8191579584218,29.00941183472005,45.351134767089775,36.729220356255524,69.66170857643559,56.41799831112247,,,,,,,,
