,Description,Date,Age,Miles,eq_20k,Minutes,Seconds
101, Santa Claus Half,2007-07-07,35,13.112,82.19481105094835,82.0,11.0
127, Final leg of Skagway-Whitehorse Klondike Relay,2009-09-12,38,12.1,83.09730307785371,83.0,5.0
143, Santa Claus Half,2010-08-07,39,13.112,84.50146760313457,84.0,30.0
71, Santa Claus Half M,1999-07-10,27,13.112,84.50146760313457,84.0,30.0
52, Santa Claus Half M,1998-08-08,27,13.112,84.71979312041968,84.0,43.0
124, Santa Claus Half,2009-08-08,38,13.112,85.55512553438011,85.0,33.0
34, St Andrews Half,1991-05-15,19,13.112,85.74497381028021,85.0,44.0
75, Gold Discovery Run,2000-07-23,29,16.3,85.88762896720586,85.0,53.0
84, Robin Hood Half Marathon,2004-09-12,33,13.112,88.23198622457153,88.0,13.0
51, Gold Discovery Run,1998-07-26,27,16.3,88.58365319487599,88.0,35.0
85, Turkey Trot - Keyworth,2004-12-12,33,12.6,88.81153425942526,88.0,48.0
142, Gold Discovery.,2010-07-25,39,16.3,90.15505017328945,90.0,9.0
25, Bellshire Half M in Melton,1988-10-18,17,13.112,92.1523531219086,92.0,9.0
74, Santa Claus Half M,2000-07-01,28,13.112,97.4681048471114,97.0,28.0
91, Turkey Trot - Keyworth,2005-12-11,34,13.112,99.67034484755256,99.0,40.0
155, Santa Claus Half,2012-08-04,41,13.112,102.34720553774397,102.0,20.0
128, Equinox Marathon,2009-09-18,38,26.224,103.16394849577307,103.0,9.0
145, Equinox Marathon,2010-09-18,39,26.224,107.93076299278532,107.0,55.0
113, Equinox Marathon,2008-09-18,37,26.224,109.59172101865644,109.0,35.0
55, Equinox Marathon,1998-09-19,27,26.224,110.370435757073,110.0,22.0
154, Gold Discovery Run,2012-07-22,41,16.3,110.42915236536889,110.0,25.0
36, Leeds Half M,1995-07-01,23,13.112,113.14957243645968,113.0,8.0
157, Equinox Marathon,2012-09-15,41,26.224,117.79748384023654,117.0,47.0
173, Spacecoast Marathon,2015-11-29,44,26.224,120.55674473416336,120.0,33.0
165, Sourdough Triathlon,2013-07-14,41,13.112,131.89708968159454,131.0,53.0
78, Leeds Half M with Tanya,2001-06-01,29,13.112,132.89379313007007,132.0,53.0
