,Description,Date,Age,Miles,eq25_10k,Minutes,Seconds
0, Leicester,1983-09-04,12,6.0,32.79347013275278,32.0,47.0
207, St Pete Run Festival,2021-11-13,50,6.215,35.62,35.0,37.0
117, Midnight Sun Run,2009-06-19,37,6.215,36.08,36.0,4.0
206, Trot thru the terrace,2021-11-06,50,6.215,36.3,36.0,17.0
9, sileby,1985-09-01,14,9.0,36.729220356255524,36.0,43.0
177, Midnight Sun Run,2016-06-18,44,6.215,36.77,36.0,46.0
205, Fast tempo run  Lake Carrollwood,2021-10-23,50,6.215,37.0,37.0,0.0
13, shepshed,1986-10-04,15,6.215,37.0,37.0,0.0
98, Midnight Sun Run,2007-06-23,35,6.215,37.18,37.0,10.0
169, Midnight Sun Run,2014-06-21,42,6.215,37.18,37.0,10.0
135, Spring Fling,2010-04-03,38,6.215,37.37,37.0,22.0
24, sileby,1988-09-11,17,9.0,37.72171950926463,37.0,43.0
161, Midnight Sun Run,2013-06-22,41,6.215,37.83,37.0,49.0
186, Thanksgiving Turkey Trot,2016-11-24,45,6.215,37.98,37.0,58.0
112, Run Lu Lu Run,2008-08-17,37,6.215,38.02,38.0,1.0
86, LRRL Beaumont Markfield,2005-01-23,33,6.215,38.07,38.0,4.0
179, Prestwold Air Ambulance 10k,2016-06-26,44,6.215,38.08,38.0,4.0
192, Run on the shutle landing facility ,2018-03-13,46,6.0,38.09111655901313,38.0,5.0
150, Midnight Sun Run,2012-06-23,40,6.215,38.28,38.0,16.0
56, Miller Hill / Yankovich Cookie Challenge,1998-10-10,27,6.5,38.285494550820886,38.0,17.0
87, LRRL Barrow ,2005-01-30,33,6.0,38.35080510932001,38.0,21.0
127, Final leg of Skagway-Whitehorse Klondike Relay,2009-09-12,38,12.1,38.45015606196387,38.0,27.0
159, Halloween Run,2012-10-27,41,10.0,38.45103168336204,38.0,27.0
12, sileby,1986-09-07,15,9.0,38.538674594394585,38.0,32.0
101, Santa Claus Half,2007-07-07,35,13.112,38.692665035468124,38.0,41.0
187, Barrow Boxing Day Handicap,2016-12-26,45,6.0,38.69359399572509,38.0,41.0
143, Santa Claus Half,2010-08-07,39,13.112,38.76206476947888,38.0,45.0
191, Trot thru the terrace,2017-11-11,46,6.215,38.77,38.0,46.0
125, Run Lu Lu Run,2009-08-15,38,6.837,38.85374107657685,38.0,51.0
138, Midnight Sun Run,2010-06-19,38,6.215,38.92,38.0,55.0
34, St Andrews Half,1991-05-15,19,13.112,39.048917003390045,39.0,2.0
