,Description,Date,Age,Miles,eq_Mar,Minutes,Seconds
128, Equinox Marathon,2009-09-18,38,26.224,228.86747290255997,228.0,52.0
145, Equinox Marathon,2010-09-18,39,26.224,239.44257014955204,239.0,26.0
113, Equinox Marathon,2008-09-18,37,26.224,243.1273774055861,243.0,7.0
55, Equinox Marathon,1998-09-19,27,26.224,244.85494286708717,244.0,51.0
157, Equinox Marathon,2012-09-15,41,26.224,261.33172328024756,261.0,19.0
173, Spacecoast Marathon,2015-11-29,44,26.224,267.4530968519247,267.0,27.0
