,Description,Date,Age,Miles,eq25_5k,Minutes,Seconds
0, Leicester,1983-09-04,12,6.0,15.414960953737404,15.0,24.0
33, Track meet 5k  Glasgow,1991-05-01,19,3.108,16.027190774482975,16.0,1.0
8, barrow,1985-06-01,13,4.0,16.414262312318137,16.0,24.0
61, Presbyterian 5k,1999-05-22,27,3.108,16.667078615759902,16.0,40.0
207, St Pete Run Festival,2021-11-13,50,6.215,16.743604960053517,16.0,44.0
140, Valkyeries,2010-07-17,38,4.972,16.754519411874025,16.0,45.0
208, Turkey Trot Clearwater,2021-11-25,50,3.107,16.902962678906974,16.0,54.0
117, Midnight Sun Run,2009-06-19,37,6.215,16.959833435113165,16.0,57.0
206, Trot thru the terrace,2021-11-06,50,6.215,17.063247053619953,17.0,3.0
4, Leicester,1984-09-01,13,5.0,17.068957104438397,17.0,4.0
17, Leicester,1987-09-06,16,5.0,17.128472296573815,17.0,7.0
9, sileby,1985-09-01,14,9.0,17.265007190788847,17.0,15.0
177, Midnight Sun Run,2016-06-18,44,6.215,17.284176147702638,17.0,17.0
172, AGU Run,2014-12-18,43,3.108,17.296968209516873,17.0,17.0
22, thringstone,1988-08-07,17,4.5,17.377718192699533,17.0,22.0
13, shepshed,1986-10-04,15,6.215,17.392290385232457,17.0,23.0
205, Fast tempo run  Lake Carrollwood,2021-10-23,50,6.215,17.392290385232457,17.0,23.0
106, Yankovitch loop run SUPER FAST  HILLY,2007-08-26,36,5.25,17.42783406294399,17.0,25.0
169, Midnight Sun Run,2014-06-21,42,6.215,17.476901527647104,17.0,28.0
98, Midnight Sun Run,2007-06-23,35,6.215,17.476901527647104,17.0,28.0
136, Beet Beethoven,2010-04-10,38,3.108,17.546924397515674,17.0,32.0
152, Valkyries,2012-07-14,40,5.37,17.5500381799515,17.0,33.0
135, Spring Fling,2010-04-03,38,6.215,17.566213289084782,17.0,33.0
105, Morning run near Pioneer Park,2007-08-05,36,5.0,17.61649687208426,17.0,36.0
203, Clearwater running festival 5k,2021-04-24,49,3.108,17.69689811031495,17.0,41.0
24, sileby,1988-09-11,17,9.0,17.731543230687,17.0,43.0
161, Midnight Sun Run,2013-06-22,41,6.215,17.78244176414443,17.0,46.0
104, GCI 8k,2007-08-04,36,4.972,17.82637751577876,17.0,49.0
175, Chena River Run,2016-05-07,44,3.108,17.84687182311423,17.0,50.0
186, Thanksgiving Turkey Trot,2016-11-24,45,6.215,17.852951049489967,17.0,51.0
112, Run Lu Lu Run,2008-08-17,37,6.215,17.87175352558211,17.0,52.0
86, LRRL Beaumont Markfield,2005-01-23,33,6.215,17.89525662069729,17.0,53.0
179, Prestwold Air Ambulance 10k,2016-06-26,44,6.215,17.899957239720322,17.0,53.0
192, Run on the shutle landing facility ,2018-03-13,46,6.0,17.905182710597106,17.0,54.0
189, Independence Day 5k  Fairbanks  AK,2017-07-04,45,3.108,17.916859555753895,17.0,55.0
97, Chena River Run,2007-05-05,35,3.108,17.926857803273847,17.0,55.0
150, Midnight Sun Run,2012-06-23,40,6.215,17.99396962018104,17.0,59.0
56, Miller Hill / Yankovich Cookie Challenge,1998-10-10,27,6.5,17.99655239919221,17.0,59.0
58, Alaskaland Run for Youth,1999-04-24,27,3.108,17.99684553591351,17.0,59.0
87, LRRL Barrow ,2005-01-30,33,6.0,18.027252404560816,18.0,1.0
127, Final leg of Skagway-Whitehorse Klondike Relay,2009-09-12,38,12.1,18.07395350235626,18.0,4.0
159, Halloween Run,2012-10-27,41,10.0,18.074365098616386,18.0,4.0
180, 3 club challenge,2016-08-09,45,5.0,18.08071537074053,18.0,4.0
12, sileby,1986-09-07,15,9.0,18.11556269209977,18.0,6.0
53, GCI 5k,1998-08-15,27,3.108,18.116824506152934,18.0,7.0
190, fort de soto 5k & 15k,2017-10-01,46,3.108,18.126822753672883,18.0,7.0
166, Donate Life USF 5k,2014-04-06,42,3.108,18.146819248712788,18.0,8.0
101, Santa Claus Half,2007-07-07,35,13.112,18.187947731767363,18.0,11.0
187, Barrow Boxing Day Handicap,2016-12-26,45,6.0,18.188384400592916,18.0,11.0
143, Santa Claus Half,2010-08-07,39,13.112,18.220569902755823,18.0,13.0
191, Trot thru the terrace,2017-11-11,46,6.215,18.224299952309796,18.0,13.0
90, Rushcliffe Country Park,2005-08-05,34,4.0,18.23638208796862,18.0,14.0
16, thringstone,1987-08-01,16,3.85,18.245791993127646,18.0,14.0
132, UAF campus afternoon run,2010-03-18,38,3.0,18.256712260134794,18.0,15.0
125, Run Lu Lu Run,2009-08-15,38,6.837,18.26366344206646,18.0,15.0
138, Midnight Sun Run,2010-06-19,38,6.215,18.294809237655333,18.0,17.0
160, Beat Beethoven,2013-04-13,41,3.108,18.326787704071922,18.0,19.0
34, St Andrews Half,1991-05-15,19,13.112,18.355408209508134,18.0,21.0
110, Fairbanks run for women,2008-06-01,36,5.0,18.378291331417632,18.0,22.0
81, Livingstone Relays,2004-04-11,32,3.0,18.391793227341257,18.0,23.0
158, Troth Yeddha 5k at UAF,2012-09-22,41,3.108,18.46676316935125,18.0,28.0
44, Midnight Sun Run,1998-06-20,26,6.215,18.47343276053069,18.0,28.0
146, Murphy Dome Roam,2011-05-15,39,11.0,18.534433620840602,18.0,32.0
124, Santa Claus Half,2009-08-08,38,13.112,18.594637463423524,18.0,35.0
83, Crossdale 10k,2004-09-05,33,6.215,18.62385256926784,18.0,37.0
129, Cache Creek Warm-up,2009-10-24,38,6.8,18.62619753873722,18.0,37.0
183, Tempo run,2016-09-22,45,3.47,18.63754464775182,18.0,38.0
199, Multirace Fort de Soto Tri #1,2019-07-13,47,3.108,18.666728119750292,18.0,40.0
60, Law Days 10k,1999-05-01,27,6.215,18.699062473636413,18.0,41.0
80, Desford 10k,2004-03-28,32,6.215,18.722565568751588,18.0,43.0
59, Alaskaland Couch Potato Challenge,1999-04-25,27,3.108,18.72671760487,18.0,43.0
134, UAF campus run,2010-04-01,38,3.0,18.82820865985444,18.0,49.0
28, sileby,1989-09-10,18,9.0,18.845517040239734,18.0,50.0
95, Beet Beethoven,2007-04-14,35,3.108,18.87669131766928,18.0,52.0
202, Fast tempo run  Babe Zaharias golf course,2020-07-07,48,3.108,18.87669131766928,18.0,52.0
156, Birch Hill 5k,2012-08-25,41,3.108,18.89668781270918,18.0,53.0
88, Holme Pierrepont,2005-07-28,34,6.215,18.919991567719094,18.0,55.0
89, Wollaton Park,2005-07-30,34,3.108,18.946679050308944,18.0,56.0
14, Barrow,1987-06-06,15,4.0,19.041151655547587,19.0,2.0
170, North Pole Triathlon,2014-07-12,42,6.215,19.08451323352535,19.0,5.0
109, Spring Fling 5k,2008-04-05,36,3.108,19.146644000707983,19.0,8.0
79, Trent Toll Bridge (Notts AC),2003-07-26,32,5.0,19.20555250209997,19.0,12.0
115, Beat Beethoven,2009-04-11,37,3.108,19.216631733347647,19.0,12.0
67, 1st Salmon Run in Nenana,1999-07-04,27,3.108,19.216631733347647,19.0,12.0
15, loughborough,1987-07-04,15,3.108,19.216631733347647,19.0,12.0
164, Chena Lakes Triathlon Sprint Triathlon,2013-07-27,42,3.108,19.2466264759075,19.0,14.0
43, Mosquito Meander,1998-06-13,26,3.108,19.316614208547165,19.0,18.0
71, Santa Claus Half M,1999-07-10,27,13.112,19.34929701895662,19.0,20.0
142, Gold Discovery.,2010-07-25,39,16.3,19.38303003738199,19.0,22.0
52, Santa Claus Half M,1998-08-08,27,13.112,19.394968058340467,19.0,23.0
20, barrow,1988-06-04,16,4.0,19.420759942141437,19.0,25.0
50, Grandmas over the hill,1998-07-23,27,9.0,19.423133089637453,19.0,25.0
111, Spruce Tree Classic,2008-06-28,36,7.2,19.448890608999402,19.0,26.0
196, Multirace Fort de Soto Tri #3,2018-09-15,47,6.215,19.45116151732214,19.0,27.0
194, Multirace Fort de Soto Tri #1,2018-07-07,46,6.215,19.498167707552497,19.0,29.0
195, Multirace Fort de Soto Tri #2,2018-08-18,47,6.215,19.51697018364464,19.0,31.0
178, West Ridge Lunch Run 5k,2016-05-13,44,3.108,19.546573901506065,19.0,32.0
38, Law Days Judicata,1998-04-25,26,6.215,19.563976373874997,19.0,33.0
184, Thanksgiving Turkey Trot,2016-11-24,45,3.108,19.59656513910582,19.0,35.0
21, loughborough,1988-07-02,16,3.108,19.59656513910582,19.0,35.0
